phase,count,repr_metric,action_metric,spearman,pearson
ALL,225,vision_backbone_output_pooled_cosine_distance,action_first_l2,-0.4794142435735356,-0.39291347391720566
ALL,225,vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,-0.3844079224610198,-0.26691964803350376
ALL,225,vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.7881298346579245,-0.7620780847748636
ALL,225,vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,-0.4622541627783275,-0.3930741781511041
ALL,225,vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,-0.6699188790560472,-0.6850459705128682
ALL,225,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.657393594605984,-0.6606945991874815
ALL,225,vision_backbone_output_pooled_l2,action_first_l2,-0.5365855457227139,-0.4863219476379652
ALL,225,vision_backbone_output_pooled_l2,action_first_translation_l2,-0.37886957437842395,-0.3007859323611505
ALL,225,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.809142753209932,-0.7892832737610599
ALL,225,vision_backbone_output_pooled_l2,action_first_gripper_abs,-0.5235245742471022,-0.48656732184297324
ALL,225,vision_backbone_output_pooled_l2,action_chunk_mean_l2,-0.7029045512010114,-0.7510561267916578
ALL,225,vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.6885229667088074,-0.7378159122792842
ALL,225,projector_output_pooled_cosine_distance,action_first_l2,-0.49364306784660766,-0.4202793002194661
ALL,225,projector_output_pooled_cosine_distance,action_first_translation_l2,-0.35710282343025707,-0.2562643751456885
ALL,225,projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.7691939764681773,-0.7250307777519115
ALL,225,projector_output_pooled_cosine_distance,action_first_gripper_abs,-0.47955225327992995,-0.4204139347435547
ALL,225,projector_output_pooled_cosine_distance,action_chunk_mean_l2,-0.6723662031184156,-0.6866260000239414
ALL,225,projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.6531373788453434,-0.6703970695205591
ALL,225,projector_output_pooled_l2,action_first_l2,-0.41199747155499367,-0.35847360167226294
ALL,225,projector_output_pooled_l2,action_first_translation_l2,-0.2524315212810788,-0.1790253561581212
ALL,225,projector_output_pooled_l2,action_first_rotation_l2,-0.6992055232825325,-0.7185429998440416
ALL,225,projector_output_pooled_l2,action_first_gripper_abs,-0.40141493538363965,-0.3587019093107931
ALL,225,projector_output_pooled_l2,action_chunk_mean_l2,-0.5905541508638854,-0.6455550439212293
ALL,225,projector_output_pooled_l2,action_chunk_max_l2,-0.5832311420143279,-0.6398679895350792
ALL,225,action_hidden_states_input_pooled_cosine_distance,action_first_l2,0.8920016856300043,0.8899383659026998
ALL,225,action_hidden_states_input_pooled_cosine_distance,action_first_translation_l2,0.5897260851243152,0.5770986535167799
ALL,225,action_hidden_states_input_pooled_cosine_distance,action_first_rotation_l2,0.857830143786213,0.8232247635563505
ALL,225,action_hidden_states_input_pooled_cosine_distance,action_first_gripper_abs,0.8872056190295862,0.8901360425889456
ALL,225,action_hidden_states_input_pooled_cosine_distance,action_chunk_mean_l2,0.9580446691951117,0.9505585836260187
ALL,225,action_hidden_states_input_pooled_cosine_distance,action_chunk_max_l2,0.9463316477033291,0.9424043771334326
ALL,225,action_hidden_states_input_pooled_l2,action_first_l2,0.05135166455962916,0.12992360423338717
ALL,225,action_hidden_states_input_pooled_l2,action_first_translation_l2,0.2248946481247366,0.2222899359435528
ALL,225,action_hidden_states_input_pooled_l2,action_first_rotation_l2,-0.17370556422956232,-0.1498380177023617
ALL,225,action_hidden_states_input_pooled_l2,action_first_gripper_abs,0.04081294648314605,0.12938642662239136
ALL,225,action_hidden_states_input_pooled_l2,action_chunk_mean_l2,-0.03436894226717235,-0.0939237962163672
ALL,225,action_hidden_states_input_pooled_l2,action_chunk_max_l2,-0.020755372945638433,-0.10650237385070693
ALL,225,action_head_output_pooled_cosine_distance,action_first_l2,0.828035187526338,0.4561087321099281
ALL,225,action_head_output_pooled_cosine_distance,action_first_translation_l2,0.5782227138643068,0.3603087754754124
ALL,225,action_head_output_pooled_cosine_distance,action_first_rotation_l2,0.9318968625880435,0.7182487634532732
ALL,225,action_head_output_pooled_cosine_distance,action_first_gripper_abs,0.8201945411626747,0.45619208104030834
ALL,225,action_head_output_pooled_cosine_distance,action_chunk_mean_l2,0.9485535187526338,0.6557165525198952
ALL,225,action_head_output_pooled_cosine_distance,action_chunk_max_l2,0.9439664981036663,0.6289789299981599
ALL,225,action_head_output_pooled_l2,action_first_l2,0.8559913611462284,0.8058652402465268
ALL,225,action_head_output_pooled_l2,action_first_translation_l2,0.6093531394858829,0.578558096710234
ALL,225,action_head_output_pooled_l2,action_first_rotation_l2,0.9248254808221336,0.9097956428319046
ALL,225,action_head_output_pooled_l2,action_first_gripper_abs,0.8480582267149718,0.8059607556530058
ALL,225,action_head_output_pooled_l2,action_chunk_mean_l2,0.9602939317319849,0.9600579772847163
ALL,225,action_head_output_pooled_l2,action_chunk_max_l2,0.9540012642225032,0.9344588206064166
alignment,85,vision_backbone_output_pooled_cosine_distance,action_first_l2,0.23853820598006645,0.2873150432224296
alignment,85,vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,0.15573578268516708,0.3646751940008408
alignment,85,vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.2763533320304866,-0.18310856477139625
alignment,85,vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,0.23853820598006645,0.28745265377902923
alignment,85,vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,0.0199921829196795,-0.007662587543666017
alignment,85,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.06093414109829978,-0.08295700839210965
alignment,85,vision_backbone_output_pooled_l2,action_first_l2,0.22651944498729726,0.2584769174652155
alignment,85,vision_backbone_output_pooled_l2,action_first_translation_l2,0.16638655462184873,0.3456850808810363
alignment,85,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.25391831151065075,-0.1693792843091792
alignment,85,vision_backbone_output_pooled_l2,action_first_gripper_abs,0.22651944498729726,0.25860106151687545
