repr_metric,action_metric,pearson,spearman
vision_backbone_output_pooled_cosine_distance,action_first_l2,-0.39291347391720566,-0.4794142435735356
vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,-0.26691964803350376,-0.3844079224610198
vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.7620780847748636,-0.7881298346579245
vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,-0.3930741781511041,-0.4622541627783275
vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,-0.6850459705128682,-0.6699188790560472
vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.6606945991874815,-0.657393594605984
vision_backbone_output_pooled_l2,action_first_l2,-0.4863219476379652,-0.5365855457227139
vision_backbone_output_pooled_l2,action_first_translation_l2,-0.3007859323611505,-0.37886957437842395
vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.7892832737610599,-0.809142753209932
vision_backbone_output_pooled_l2,action_first_gripper_abs,-0.48656732184297324,-0.5235245742471022
vision_backbone_output_pooled_l2,action_chunk_mean_l2,-0.7510561267916578,-0.7029045512010114
vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.7378159122792842,-0.6885229667088074
vision_backbone_output_token_mean_l2_per_token,action_first_l2,-0.23603657248774632,-0.31951116729877793
vision_backbone_output_token_mean_l2_per_token,action_first_translation_l2,-0.21921912496261461,-0.35646333754740833
vision_backbone_output_token_mean_l2_per_token,action_first_rotation_l2,-0.7027629051522538,-0.6843542519679988
vision_backbone_output_token_mean_l2_per_token,action_first_gripper_abs,-0.23607200853202506,-0.29984677899083007
vision_backbone_output_token_mean_l2_per_token,action_chunk_mean_l2,-0.5692717623960202,-0.529303624104509
vision_backbone_output_token_mean_l2_per_token,action_chunk_max_l2,-0.5349475738199613,-0.518645174884113
projector_output_pooled_cosine_distance,action_first_l2,-0.4202793002194661,-0.49364306784660766
projector_output_pooled_cosine_distance,action_first_translation_l2,-0.2562643751456885,-0.35710282343025707
projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.7250307777519115,-0.7691939764681773
projector_output_pooled_cosine_distance,action_first_gripper_abs,-0.4204139347435547,-0.47955225327992995
projector_output_pooled_cosine_distance,action_chunk_mean_l2,-0.6866260000239414,-0.6723662031184156
projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.6703970695205591,-0.6531373788453434
projector_output_pooled_l2,action_first_l2,-0.35847360167226294,-0.41199747155499367
projector_output_pooled_l2,action_first_translation_l2,-0.1790253561581212,-0.2524315212810788
projector_output_pooled_l2,action_first_rotation_l2,-0.7185429998440416,-0.6992055232825325
projector_output_pooled_l2,action_first_gripper_abs,-0.3587019093107931,-0.40141493538363965
projector_output_pooled_l2,action_chunk_mean_l2,-0.6455550439212293,-0.5905541508638854
projector_output_pooled_l2,action_chunk_max_l2,-0.6398679895350792,-0.5832311420143279
projector_output_token_mean_l2_per_token,action_first_l2,0.07434730436004956,0.08969869363674673
projector_output_token_mean_l2_per_token,action_first_translation_l2,0.022913931891574008,-0.06583860092709651
projector_output_token_mean_l2_per_token,action_first_rotation_l2,-0.413129266908359,-0.28721535905091317
projector_output_token_mean_l2_per_token,action_first_gripper_abs,0.07443615715396078,0.10276236718623645
projector_output_token_mean_l2_per_token,action_chunk_mean_l2,-0.22686679470796414,-0.11253687315634218
projector_output_token_mean_l2_per_token,action_chunk_max_l2,-0.20671099723891448,-0.1321070375052676
