planner_phase,method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,full_delta,85,0.0002883989272744472,0.00018783489939070008,0.0007389601828462382,0.0006690366553586187,0.00041401880126022044,0.0015869151223223922,2.0398024259450182e-05,1.653558996184357e-05,4.043659152382696e-05,3.8755774989227066e-05,3.552889201874566e-05,6.465337739588025e-05,0.0001282028799109599,7.13961198925972e-05,0.00026979167014360453,0.7128986039944256,0.7548945712012576,0.8878920753956677,271.08168828345913,266.84717966871096,313.4877558601177,1.0,1.0,1.0,0.9995009715865818,0.9997520398467871,0.9998651902322317,85,0
alignment,neg_gradient_same_norm,85,0.06995122828339205,0.032154147363612114,0.18891322843815236,0.16040435953711132,0.05377752425239878,0.4591694763069637,0.006546953720752424,0.006865002792164317,0.008545771637280252,0.012926129334493528,0.01357226279639324,0.022810984848567542,0.015032817677760758,0.008847862201264434,0.032305540836569044,0.7180211720041244,0.7520115100724778,0.8544050255183335,271.08168828345924,266.8471796687111,313.48775586011783,-0.27877210090920596,-0.2732662794144242,-0.23506823112187217,0.8839333459243719,0.9555150140327322,0.9783899373844869,85,0
alignment,no_correction,85,0.7128545442166393,0.7546515101267779,0.8881977325773738,0.843770403966914,0.900911582029485,0.9431701499845959,0.004871162374475442,0.0047340271100600635,0.0076079735933687566,0.012385289703335965,0.011393084828885274,0.01900469787941509,0.5314152577344109,0.5392353534698486,0.8387516736984253,0.0010892255899872365,0.001076547599836285,0.0015929289084474236,0.0,0.0,0.0,0.0,0.0,0.0,9.932783844433258e-05,1.538834249594448e-05,0.001005955774543474,45,40
alignment,null_residual,85,0.5256196648504663,0.5414931548668098,0.6877941997119057,0.8754445281116121,0.9080654152463816,0.9640741571338167,0.006007573710440047,0.006173452449011973,0.010677549527273442,0.008522017207670405,0.008732852478048296,0.013805092070425592,0.5599455112262683,0.7211009860038757,0.9583868026733399,0.2711113957078951,0.24063103678036968,0.521307269374327,266.24344637649085,263.6272280221364,308.6202806233687,0.8182970925382245,0.8106035091469248,0.8828335299474851,0.2406377616665051,0.20627931869770788,0.51095305864626,85,0
alignment,orthogonal_to_gradient_same_norm,85,0.7024642869807944,0.7450029013061139,0.8832070892741362,0.8381486955019763,0.8962906278093147,0.9407114978366202,0.004818867653104262,0.0047009998257477245,0.007308352446927179,0.012462854657245654,0.011732959839176708,0.01952361276295721,0.5208606130936566,0.5194360017776489,0.8236398220062257,0.013593655361139082,0.011954948165016716,0.02212382382920604,271.08168828345913,266.847179668711,313.4877558601177,-0.41429561655684966,-0.41412113817811463,-0.4126562874410409,0.01798176571423394,0.012754351097030124,0.03533825291809447,85,0
alignment,random_same_norm,85,0.7031317058505222,0.7440006497638003,0.8869795388783158,0.8368778614629142,0.8949869396265165,0.9464924285480877,0.004809180837517784,0.004726197305711409,0.007461424018237227,0.012503003372491545,0.011634347083751013,0.01904098202555463,0.5224675083861632,0.5246264934539795,0.823448383808136,0.015560159238487463,0.013469888767990174,0.02512597624286091,271.08168828345913,266.84717966871096,313.4877558601177,-0.4140271925524587,-0.4137882372304221,-0.4117188200661295,0.01574202704264033,0.011822230906896882,0.038780959875240786,77,8
alignment,sensitive_projection,85,0.24158613562218148,0.18804285427140904,0.536777976728806,0.4673198950871491,0.4439410465857353,0.8853444008055263,0.001776167360538966,0.0017416794109308524,0.0025259736798652435,0.004875118193641984,0.004430277021000573,0.009048517068073667,0.025326952829902223,0.007219239370897412,0.09143986403942109,0.47499961788391254,0.4738216172220038,0.6641050469416854,49.322276877023334,49.800285602995146,65.18755632500852,0.01781446913845173,0.018099307845981134,0.028564380829740194,0.6838086600982439,0.7053950678886303,0.9176853186293642,85,0
descent_to_grasp,full_delta,40,0.000938680665425972,0.0009574204020477842,0.0014585740307366418,0.0019027475615414201,0.0017232581661758522,0.0030245883193754765,1.9894796102154163e-05,1.6879588156920647e-05,3.590978221004835e-05,4.9451458251787155e-05,5.044778316947754e-05,7.596229301420885e-05,0.0008360890205949545,0.0004308559000492096,0.0020599901676177984,0.3878834143960743,0.35244349009507103,0.7468153757858558,302.78016814476064,309.1810809461631,334.83443937729436,1.0,1.0,1.0,0.9959098368629027,0.9976348913421829,0.9991903531336678,40,0
descent_to_grasp,neg_gradient_same_norm,40,0.16699607405190603,0.17214398464509686,0.20394917364718654,0.4416363627005525,0.4514317276794656,0.6499914827779366,0.006622980453987107,0.006677197368344263,0.008416247989238276,0.01856614621805412,0.020766574484293882,0.022686500619525322,0.25335902677761124,0.10302200675954509,0.6272022123161151,0.4332374154692742,0.3985056085781282,0.690535237746999,302.78016814476075,309.18108094616315,334.83443937729464,-0.34357410230848523,-0.34704021129744506,-0.2912981819813991,0.3111169685569627,0.545662310348846,0.8023150470599372,30,10
descent_to_grasp,no_correction,40,0.387706810355999,0.35255065110806016,0.7475520132379959,0.5836632379115507,0.5769877927816969,0.8858685159177475,0.004033970331679703,0.003471031148284203,0.007930105362891229,0.0024020299732058054,0.001157886777097857,0.00563637513828565,0.524595720693469,0.49676403403282166,0.8589899420738221,0.0009596650080891805,0.0009785089934772504,0.0012551706628465744,0.0,0.0,0.0,0.0,0.0,0.0,0.0005003085790247924,0.0006460918612980122,0.002755328876169724,25,15
descent_to_grasp,null_residual,40,0.26274722315365096,0.25499966879150515,0.4965869674952183,0.6284139758664018,0.6754827313049773,0.9390137013801046,0.004888362258074734,0.004242809920950351,0.010149501846883908,0.002619756945312669,0.0012062194671753077,0.006268009608272465,0.5511743427952751,0.5123091638088226,0.9389456629753113,0.15307951272197326,0.12302916209529674,0.2708225167090524,301.07083010290427,307.1107589605623,334.04836686721706,0.9031091317949705,0.9072611731400563,0.9537208932702035,0.3383060996002222,0.37283526688957325,0.4828482724719608,40,0
descent_to_grasp,orthogonal_to_gradient_same_norm,40,0.3825425234540137,0.33658532580179257,0.7425986793716062,0.5770806634929683,0.5639933652462903,0.8859388986351171,0.0038404725366518767,0.0032089195960730062,0.0074353930200448245,0.002379263470883068,0.0011261231514574255,0.00583961517301988,0.5154230680316687,0.4938807189464569,0.8480939328670501,0.006464316300385578,0.0043856486297716435,0.018557770687589795,302.7801681447606,309.1810809461631,334.83443937729436,-0.4147017674467074,-0.4151957975636944,-0.4121434142957712,0.017695608145101,0.007540136771695378,0.04759291800016011,40,0
descent_to_grasp,random_same_norm,40,0.3831167740949661,0.33921783856630294,0.7448557111056624,0.5777670587630264,0.568462900864761,0.8937663299812408,0.003886321520594871,0.0034326959079250823,0.007763279735748955,0.0024312972500877207,0.001075113988983584,0.006030406702710309,0.5188927296549082,0.49427124857902527,0.8527737259864807,0.007776243799876114,0.004413292887763166,0.020130413494253405,302.7801681447606,309.1810809461631,334.8344393772943,-0.41446060062158213,-0.4146065105317158,-0.4119528858872211,0.015443184612270188,0.009154489259181421,0.034481380759898796,39,1
descent_to_grasp,sensitive_projection,40,0.22086187107572613,0.17473722343833697,0.44945926812491477,0.41117763334968194,0.3659125047527592,0.7313016912501291,0.0014948002623866607,0.0011413975667004931,0.002888564508788522,0.0013765262074232711,0.0009529765612943625,0.0028731338681379378,0.110810642153956,0.0846630223095417,0.25280289947986606,0.17049174807124431,0.16107650557886488,0.31065895474804084,29.32299893186855,26.44830042541181,50.06668341328842,0.005637109121196643,0.004314140673521296,0.013920503000549709,0.41248963833822494,0.3507884469876237,0.7446801004549548,40,0
grasp_close,full_delta,50,0.0008208005906916431,0.0009338213037102916,0.001200757986880193,0.0013666476284936496,0.0015712570574983216,0.0019628798547908235,1.913047008720543e-05,1.7415032861137444e-05,3.3394423819398304e-05,4.383000465070056e-05,3.96656231711031e-05,7.953041635889577e-05,0.0007251298427581787,0.0004616081714630127,0.0018071353435516358,0.004480758802242753,0.003454049300540327,0.007553180929437489,282.2641331729543,286.08640979428867,300.1826517941794,1.0,1.0,1.0,0.7545356594353265,0.7766882942216353,0.9195111844357001,50,0
grasp_close,neg_gradient_same_norm,50,0.06988458515380712,0.017275168232010057,0.2065117256805278,0.23204521127821404,0.03241219782018483,0.9559821102792283,0.020545851395599682,0.020074129498570993,0.031221038278376793,0.004279360896447159,0.004282428451859142,0.006082680862316042,0.06199055060744286,0.00910845398902893,0.01171875,0.07269502715475701,0.01988741713358744,0.20805470557101075,282.2641331729544,286.0864097942888,300.18265179417955,-0.3745389099089654,-0.3707736167754503,-0.36127146843245306,-24.97566967053691,-4.146476343881998,0.20587786941399205,7,43
grasp_close,no_correction,50,0.004526129421832832,0.0034734942960187804,0.007431200134600229,0.012042009633259167,0.006820824654820703,0.023511987128036958,0.0037678095650145738,0.003506937084414328,0.004948665111552447,0.0004394593478202534,0.0004438523668950701,0.0008945202142063852,0.009932671785354613,0.004113435745239258,0.022980064153671268,0.00072313835915598,0.0006753605527404572,0.001241310550089299,0.0,0.0,0.0,0.0,0.0,0.0,-0.017828225557203693,-0.023297497638825566,0.0441701036707734,14,36
grasp_close,null_residual,50,0.005523730407041006,0.005300327182036359,0.0068885331669581926,0.019760987930387407,0.020518419462525108,0.02687560282384629,0.0014210650834989577,0.0013699373123493472,0.0024634894734937088,0.00016257250380101963,0.0001659272293456363,0.0002456600620909009,0.019133927822113036,0.02045983076095581,0.026824325323104862,0.004333597498677194,0.003951957241835649,0.006169274703087748,281.77848756146966,285.3265239846063,299.18206879909695,0.9447678263593189,0.9395104207614586,0.971375485074199,-0.4053426022926751,-0.4350023278232898,0.10164633000191499,10,40
grasp_close,orthogonal_to_gradient_same_norm,50,0.0048339409445243495,0.003678199541766917,0.007982140608957581,0.012802892214166863,0.006889489055463791,0.025172268606512272,0.0038485529875197932,0.003649448995606141,0.004977976784897693,0.00045806911214575944,0.0004426834303470782,0.0009143759062906299,0.011016000509262085,0.004708051681518555,0.02469403743743897,0.001029365959190519,0.0008820759402548832,0.0016663402522982145,282.2641331729543,286.08640979428867,300.1826517941794,-0.4141801038520605,-0.4140216770001021,-0.41243463707517314,-0.09024755697350628,-0.08745770676082681,-0.028091452071886597,1,49
grasp_close,random_same_norm,50,0.004900008548537175,0.0037214510343318505,0.007929157285787056,0.013203843526865483,0.006845255100655369,0.024692747686721167,0.0038430941725790964,0.0035254696952627296,0.005024013800940149,0.0004564697366623324,0.0004607499653726763,0.0008988501716097715,0.011344908475875855,0.0048542320728302,0.024143606424331665,0.001144982309569113,0.0008739901253246643,0.0018994607427073092,282.2641331729543,286.08640979428867,300.18265179417944,-0.4139542187011731,-0.4142005326333843,-0.4113054236741346,-0.09272929459751243,-0.09959361466070685,0.01605916654702961,6,44
grasp_close,sensitive_projection,50,0.002772675205294722,0.0028082808552593545,0.003671247286902007,0.006163445887545179,0.005543456639087609,0.009359185446659962,0.003061129074203504,0.0030016954481156205,0.003925218155457812,0.0005043971757707068,0.0005648599575578817,0.0010525189543434956,0.002472926378250122,0.0020695626735687256,0.004317063093185425,0.0036260438429977925,0.0028408985047685634,0.005354762854438702,15.72792457994052,16.91379771665803,20.912604385171328,0.001696219847670285,0.0018316747833747116,0.0027026018887037983,0.2593771930405299,0.2142083476671515,0.5065623715490407,46,4
hold,full_delta,10,0.00019165170676848986,0.00021558835249863852,0.0002912757958384671,0.00037895280354321016,0.0003561985137869044,0.0005392417279516074,2.0820401962242314e-05,1.9355444178980577e-05,2.846185225474351e-05,3.994154977409539e-05,3.6964923468990846e-05,7.118858280900965e-05,0.0001157163642346859,9.732693433761597e-05,0.00021998435258865356,0.6853561719244702,0.7341002409019359,0.7761522065887634,265.47442504705276,258.57804233311606,335.57924417182784,1.0,1.0,1.0,0.9996964249420286,0.9997016559211471,0.9998807298657993,10,0
hold,neg_gradient_same_norm,10,0.026498061834493342,0.029276196564199115,0.03205960997518486,0.03976800587394024,0.0429694083228823,0.050428910722583105,0.005953544483070311,0.006559622757284863,0.008330301021707422,0.010412678970158917,0.009474390163104727,0.01628571631035344,0.010505764522940808,0.01067544246052421,0.012113978095862876,0.706994551574937,0.7613421832400599,0.8016280607289968,265.47442504705293,258.5780423331162,335.579244171828,-0.2661103420737814,-0.2621418750464746,-0.22562667993726732,0.9582609219575231,0.959734787432968,0.9830956704351125,10,0
hold,no_correction,10,0.6850572598754952,0.734683933957331,0.7756137567434743,0.8520802972155055,0.8822343362050202,0.915480542382704,0.0044729891689589876,0.0047986280343036685,0.005149206492405876,0.014948255734466884,0.01576912620155559,0.017497279424460888,0.41652113646268846,0.45370274782180786,0.53382408618927,0.0012047994809721806,0.0011694096108998317,0.0015425459302947074,0.0,0.0,0.0,0.0,0.0,0.0,0.00042358839663751474,0.0004445880137330472,0.0013282079773587127,6,4
hold,null_residual,10,0.6007062918800692,0.6466010441609442,0.6948315471820244,0.8489134628420594,0.8642388334779656,0.9159129432765672,0.004195237532034272,0.0038186296184158993,0.007708576812630126,0.007954628450524833,0.007523196162160583,0.012885664210102685,0.3884407846257091,0.2710132598876953,0.8095968425273895,0.19517541354722995,0.1694466583207861,0.3911516591328564,259.77911913339017,253.74215211007157,325.015811293905,0.8020293893629843,0.7965068566565912,0.8730451754351319,0.12041524477160175,0.10989805194923248,0.22351726395473914,10,0
hold,orthogonal_to_gradient_same_norm,10,0.6723524588688415,0.7225504429185624,0.7618115147688967,0.8423511456403926,0.8703635962224083,0.9129474023400259,0.004339939402275552,0.004673841178754117,0.004991969024152107,0.014653478935226677,0.015207189451641599,0.017263285809361734,0.39727126955986025,0.41033904254436493,0.5413697004318238,0.01926909724144741,0.01854556889051331,0.024227899896109018,265.47442504705276,258.57804233311606,335.5792441718278,-0.4136472433611356,-0.4134708688060343,-0.41206347190722586,0.019789710926772,0.018199484185558397,0.02844508051355241,10,0
hold,random_same_norm,10,0.6732135698182943,0.724190441817723,0.7570751131083587,0.8487284005861913,0.8763548664635354,0.9037597568983936,0.004464682927295209,0.004638463548870292,0.005239905667728159,0.015211098249289855,0.015421776353370328,0.0183802886146115,0.4038055896759033,0.42161932587623596,0.5201405823230744,0.018621295986548707,0.018803502116669046,0.021453857783451737,265.47442504705276,258.57804233311606,335.57924417182784,-0.414768196398051,-0.4149263770074768,-0.4132791307148624,0.016003648483490097,0.021332783360120136,0.03115458975418365,9,1
hold,sensitive_projection,10,0.1007507352150258,0.06482295863642494,0.2196515535229453,0.26498980893173907,0.1534350701529857,0.6573141377221533,0.0018494231393972333,0.001677848142508789,0.0024877140726794027,0.0071582500529937905,0.00873440222613503,0.009586187113396883,0.02514173473464325,0.010221706703305244,0.09051941856741905,0.5874463908912572,0.6194540163417648,0.7390543239853724,53.555386236044434,49.774650101628495,83.53362478458088,0.020672146458648354,0.020933473876546673,0.031476947556833675,0.8547099028827692,0.8624908093884186,0.946003179133239,10,0
lift,full_delta,40,0.0011102293906653285,0.001141714615163631,0.0014715777152254999,0.001635661225843347,0.001704713307260773,0.0019919009901464457,1.8631306783560254e-05,1.4144125493253232e-05,3.413390154257353e-05,5.107528971813665e-05,4.6609345003912876e-05,7.93827458491486e-05,0.000777415931224823,0.0006886422634124756,0.0016960382461547851,0.003214126787980572,0.0029698577893223317,0.004700135082980228,262.4773455507264,261.4810434312742,282.7949821662848,1.0,1.0,1.0,0.5844708576920029,0.5978603617976521,0.8056525844244307,40,0
lift,neg_gradient_same_norm,40,0.14769975879719016,0.047436964144705135,0.3935635684585388,0.4428242600184797,0.16123026543942573,0.9687651948156379,0.020629185435986304,0.02308267752194624,0.035249079523318176,0.004984119926201292,0.004199891760559833,0.010145113300592,0.28999302961165085,0.0078125,0.9686596319079399,0.15013428107220653,0.05019366173232702,0.39584060198414983,262.47734555072645,261.4810434312744,282.7949821662849,-0.3805101162542136,-0.38055373825098016,-0.364101403480628,-56.23581193639429,-15.535873245593661,-3.2036648962738052,0,40
lift,no_correction,40,0.003183115431410781,0.0029148731140917587,0.004741039177877011,0.006319589082365828,0.005974190078399182,0.009286843537670581,0.0031284586086187624,0.0032308960920707733,0.005356538775053521,0.00023606856112245566,0.00020968777482043797,0.0004014866597328529,0.004381635785102844,0.00344008207321167,0.008902418613433839,0.0009420027468425541,0.000980952669794364,0.0012923134054578483,0.0,0.0,0.0,0.0,0.0,0.0,-0.06427758301567865,-0.040088594883227247,0.03598171783613114,11,29
