planner_phase,token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,0,85,77.7653841513785,77.54995862970199,89.63501729646504,0.28837027646281316,0.2844762100718978,0.33847766334324464,0.6893077874984704,0.7297537999003245,0.862292225798575,0.8436929559064588,0.900911582021811,0.9431701499410798,0.004316241406172186,0.004250105497078542,0.006647255435823625,0.010984525398086056,0.010839716423095584,0.01679261304726362,0.4136653501321288,0.3999495506286621,0.706780743598938,0.02357959769309662,0.02581893277009517,0.03312376784307003,0.03234175668312506,0.03439791529873535,0.04222540485921379,0.04306935152401756,0.041316900168189286,0.05902577271727433,85,0
alignment,1,85,78.4609357763953,77.12940184142326,90.8735787440985,0.2908179105825897,0.2915584808206478,0.3242361310226266,0.6820135886454809,0.7222799654757356,0.8500462303343603,0.8436929559064588,0.900911582021811,0.9431701499410798,0.004093243695443813,0.004144564412470965,0.006223133038079466,0.011096140555189255,0.010660526396885802,0.01716202662169788,0.37716932989218654,0.3559141755104065,0.6545274853706361,0.030873796546086366,0.031655855616464446,0.04582871362408335,0.04303589660272743,0.04355079087015807,0.05665901166070441,0.04372615328770144,0.04344699453634237,0.05402489584694387,85,0
alignment,2,85,64.02668233520305,62.180905253640034,80.00671483932648,0.23607504569442514,0.22806440410446388,0.2773030356167808,0.6909019916107202,0.7292072503352072,0.8636967152136875,0.8436929559064588,0.900911582021811,0.9431701499410798,0.00408671550912994,0.003907689159214771,0.006416783641242533,0.010640008461868874,0.010915347642692346,0.016368923911120124,0.42165855099173155,0.39332452416419983,0.7276859283447266,0.021985393580847112,0.022601400141903927,0.03605708961424717,0.029629511040140343,0.029855352969787936,0.04125710626139038,0.028808013264349702,0.026353951592019385,0.039217522815160125,85,0
alignment,3,85,72.34379940325823,72.72145581153025,85.71551176731498,0.26800933323247506,0.2649826008715152,0.3165239261021809,0.6804005768001088,0.7194969387881085,0.8532441401070089,0.843692955906575,0.900911582021811,0.9431701499410798,0.0041394131264901315,0.004151921558481228,0.006187559600155932,0.01101515346188791,0.010621082140732565,0.016923564033588682,0.36910201837034784,0.35767635703086853,0.6481549501419067,0.032486808391458365,0.032864850818997815,0.042542290625574644,0.0451410902563862,0.044082735955811185,0.05594280402409402,0.03720269857326876,0.03574680646867069,0.05142648771932628,85,0
alignment,4,85,75.82501922398184,73.53982546032968,97.03564127701415,0.2788209535445067,0.2591359051708037,0.34177466457906563,0.6751056202713732,0.7138776858504414,0.8347819067477981,0.8436929559064588,0.900911582021811,0.9431701499410798,0.0035846510174338325,0.003640465667390074,0.005370817910435264,0.009294115573550529,0.009330250910452836,0.014717330217585525,0.34268086000400433,0.34588369727134705,0.559771454334259,0.03778176492019396,0.03777569496623512,0.05667088869982336,0.05197179514637461,0.05140208212540419,0.07114697247114313,0.04091914624821288,0.034159131817612653,0.060218068847594036,85,0
alignment,5,85,48.789583436455416,46.74382398214668,59.57644320261398,0.18039234216617384,0.177015806623947,0.20860142946310295,0.690230732972587,0.7311144389895304,0.8705222429357076,0.8436929559064588,0.900911582021811,0.9431701499410798,0.004225649367716943,0.0041630980202639065,0.006652780262270314,0.010834758983737421,0.010570552330355285,0.01639487226676081,0.4182881539358812,0.3961501121520996,0.7350736498832703,0.022656652218980094,0.02261991649683459,0.0331570522710458,0.031671803658813114,0.0317196614549588,0.04068377317687169,0.016751534205547397,0.015791991393448675,0.02199942454398079,85,0
alignment,6,85,22.30534790444161,22.21167134824082,26.515926546095763,0.08265336247974706,0.08433857206991685,0.09610099852768575,0.6975273871341807,0.7343762723012445,0.8747766886907208,0.8436929559062575,0.900911582021811,0.9431701499476836,0.004378676135724963,0.004215109704215955,0.00694584257729025,0.011287086569819638,0.01053133784672934,0.01743111464594178,0.4547765138394692,0.44488152861595154,0.7658563256263734,0.015359998057386496,0.016001171216010746,0.02234630847183432,0.021140055397566793,0.02099432364843037,0.02852004169971035,0.0034778447097408346,0.00356284429914632,0.004628473643228549,85,0
alignment,7,85,19.816857258980885,19.64784411439009,22.94692255669015,0.0732783303669336,0.0744365306729706,0.08054230478952097,0.6994748903537436,0.740044950387056,0.878549198817138,0.8414252695129729,0.900911582021811,0.9431701499410798,0.0048711624149476,0.004734024948225695,0.007607973341372462,0.012385289581407385,0.011393084824584246,0.01900470063804614,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.013412494837823677,0.013937506385203191,0.01994331739287101,0.019485280733773796,0.0185540206176792,0.02899686757910639,0.002710659746979897,0.0027742467718897433,0.003248846489895178,85,0
alignment,8,85,27.02405180175352,26.486617584867243,31.79914592672686,0.0999653390599404,0.10115042456729378,0.11224913622926617,0.6940916365578246,0.7347346717760168,0.8749762206140905,0.8405894899176768,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01879574863374259,0.019635816286537544,0.02786561532905354,0.026992928504475513,0.026349919762450692,0.03918529648295405,0.005064252368280581,0.005128856781012023,0.006319917529662612,85,0
alignment,9,85,49.13667147081444,48.489384766859885,56.91024323830506,0.18145240529876452,0.1781029253207052,0.19961770218646077,0.6855212888874079,0.7175145422700621,0.8698729675321414,0.839780550584989,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.02736609630415927,0.02804987945658355,0.039504465360119784,0.039190596645566934,0.03994127464700018,0.052175880286247533,0.016704077159538932,0.015988136254339924,0.02012634746092796,85,0
alignment,10,85,63.74613267323747,64.97922985797759,79.6804098599936,0.23429613062900387,0.2267846268170211,0.29103559860043393,0.6864872979795507,0.7219246186235427,0.8674198786321333,0.8397805505831806,0.9009115820221918,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.026400087212016515,0.02585258636740173,0.04230393489702342,0.03680716875681003,0.03506270372403649,0.05453257594439411,0.028409212686282548,0.026055066731458073,0.04328824164069469,84,1
alignment,11,85,57.26328805838264,55.45484400373998,74.3136886269018,0.20986080684912764,0.2007801700727607,0.25988328641117214,0.690500619056019,0.7187865728926581,0.8727315736775241,0.839780550584989,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.022386766135548252,0.020816795424350554,0.03400899095178689,0.031835650965053294,0.029777335874274082,0.04744689069469635,0.0227453697104386,0.020363678038858465,0.03435998179359263,85,0
alignment,12,85,44.5447837418095,42.365845400272555,54.76359486536134,0.16364485328087225,0.1603593071932758,0.19240389103187613,0.6905216476143434,0.7202114866457621,0.8756461481142124,0.8400865614598645,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.02236573757722369,0.022114396381563206,0.035572646713002136,0.03211706974208736,0.032091631905783395,0.047854691776004835,0.013669134329603119,0.012941292223966725,0.018684419786407867,85,0
alignment,13,85,37.34716502577301,36.93024594480207,43.551319575249174,0.13788755336111858,0.13675947461879595,0.14865409307300204,0.6929571038008795,0.7235973427194516,0.876411091414262,0.8410066969186919,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01993028139068758,0.01936840663394168,0.03298324496312828,0.028645880115835073,0.025655077366926907,0.047526819079675334,0.009595237786721571,0.009395716695111914,0.01111075500434123,85,0
alignment,14,85,32.355431205132334,32.17324265658466,38.530957577640116,0.11955512629386685,0.11945363885107055,0.13329093634833042,0.6966551990997909,0.7335008261616057,0.8814088340044135,0.8429154399585679,0.898932430172277,0.9431701499410798,0.0048711624149476,0.004734024948225695,0.007607973341372462,0.012385289581407385,0.011393084824584246,0.01900470063804614,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01623218609177633,0.0156303644983935,0.025195142195866493,0.025140484781403283,0.02410310706138851,0.04396719014121569,0.007243872828948335,0.007160220294715511,0.008923219762836975,85,0
alignment,15,85,32.028316129683354,32.17878960710349,39.16769359801848,0.11820161760601498,0.11857361294419916,0.13495984761112942,0.6964106281944639,0.7335027450989383,0.8807908458920399,0.8429154399590907,0.898932430172277,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.016476756997103322,0.016399311445799314,0.025135964936356007,0.025254398951997208,0.0252792899833594,0.042635259189096546,0.007105799377001952,0.007054735489735388,0.009148960283704884,85,0
alignment,16,85,36.47936874537536,36.95906809597911,43.962778308052066,0.13409989039418083,0.1358099281553412,0.15317819033115398,0.6949734329657143,0.7261275793249666,0.881595084874267,0.8429154399590907,0.898932430172277,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.0179139522258528,0.017024766594347263,0.02596736123059249,0.02724054191518161,0.025861489377473994,0.04651297031368149,0.009124390925551375,0.009265089232018279,0.011801532164776267,85,0
alignment,17,85,41.117495405868254,40.28468865433033,50.58543405907955,0.15053427550660162,0.14673871231249178,0.17328020511765307,0.6946959724293462,0.7190246810737453,0.8825985514478966,0.8429230854971914,0.8995823010926977,0.9431701499476836,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.018191412762220898,0.016882189477940734,0.026900035041551636,0.027757929693277554,0.026213628538057625,0.04711506753623015,0.011645299505190016,0.010824712040948873,0.015128083825452984,85,0
alignment,18,85,41.465001936685795,38.537447365298206,50.40247707497363,0.15168241928984175,0.14591566767684888,0.17898716023163114,0.6956548012789376,0.7203155827165761,0.8830019411683168,0.842937218275325,0.9007835870521912,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.017232583912629718,0.015878781433568467,0.025536720951223953,0.02610941651675893,0.02498376183386557,0.04485960677130465,0.012016711902410139,0.010702967796618008,0.01614873919531421,85,0
alignment,19,85,38.523414659866276,36.71793019341801,44.72145563003555,0.14151462461805692,0.13988057853275557,0.16289812231458217,0.6980254665949758,0.7239401141171504,0.8832761278952898,0.8429492124562449,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.014861918596591368,0.014494802707970211,0.02252972806357734,0.02300613998827104,0.02032322616686393,0.04396411443891071,0.010264616092782331,0.0098316184863599,0.01335770468781152,85,0
alignment,20,85,34.272485870680335,33.74984001367084,40.1903911438687,0.12647615098391604,0.12869511598693295,0.1381977987279455,0.6988823106323402,0.7366786654476961,0.882498179037801,0.8429154399590907,0.898932430172277,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01400507455922695,0.013941621997647258,0.02202666760284684,0.021770372163897617,0.0198813762640841,0.03964389215130892,0.008106066811040622,0.008315792643086527,0.00959536797635682,85,0
alignment,21,85,30.760169881689244,30.832572220945032,35.794403457180145,0.11364827125323052,0.11509344624787085,0.12577579686644247,0.6990884661142905,0.7368755774654872,0.8845020432737124,0.8425188524945609,0.8974087384930278,0.942980139353822,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.013798919077276556,0.013337732712711992,0.024816065826017943,0.02264995571121242,0.01758485487892371,0.04916489277734485,0.006539646414158284,0.006645330895964291,0.007941571107933868,85,0
