method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
all35_full_delta,225,35.0,35.0,35.0,277.4230887156967,278.7358319687103,316.3709611719187,1.0,1.0,1.0,0.0006641180932153119,0.0005748112581181857,0.001276516992407961,0.0012023338803657981,0.0011165874970938045,0.0020269800059775425,1.973149641477582e-05,1.6995795283854826e-05,3.729457496352129e-05,4.402765782113037e-05,4.1089053732925226e-05,7.463038314826188e-05,0.0005015579683499203,0.00018384959548711777,0.001603412628173828,0.36959794465726054,0.3386182540302606,0.8429442010846007,0.8706515205891413,0.9976645170582458,0.9998314098667876,225,0
bottom10,225,10.0,10.0,10.0,112.71032040173712,110.17785824390712,136.36157897655426,0.0881558445920885,0.08714263478931346,0.1196633383528786,0.26985068979248306,0.21294149365709197,0.6383196627218288,0.43066632662856374,0.4119426895909264,0.9087830639095089,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.10041137295799274,0.0466576150696173,0.2538214063105611,0.1614120534480731,0.14008128107820228,0.3959850420721094,184,41
bottom5,225,5.0,5.0,5.0,79.56840824751607,77.72921479492109,95.87486219349067,0.04292883729636069,0.04245036919697584,0.05831791074609562,0.3172615077169496,0.27689828405476324,0.7274277394141524,0.4500124368880985,0.5078800991870376,0.9148625098104708,0.004149627949683974,0.0041474909635372224,0.0069405515653305425,0.005909907058573434,0.0018109530821350658,0.016633141097045015,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.053000555033526194,0.016607209875852513,0.14822826660051405,0.0788263398020041,0.05477860221680438,0.22521824009145494,167,58
no_correction,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37024494499006083,0.3391642845657187,0.8434039306122393,0.4641897840947267,0.55793661940154,0.9243781255212649,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,1.7117760414979992e-05,-4.860681284811659e-05,0.0006335039105287986,-0.015243641487853503,-0.0002027421833521048,0.004397059807123755,101,124
top1,225,1.0,1.0,1.0,65.64594323038462,60.306451056020165,95.354626063634,0.03075870296523435,0.025217301374413626,0.058382724963293754,0.3515058155742166,0.32652821398832754,0.7915333370135328,0.4619379502171531,0.55793661940154,0.9243781255193758,0.0033377274796642024,0.003336116930037066,0.0052197781833208156,0.004464584735899668,0.0014503362285301642,0.012450666316953844,0.22187455786599053,0.17279237508773804,0.5608981966972351,0.018756247176259167,0.008937724526911828,0.047652797579948426,0.02648694752724327,0.03929349669427002,0.07389545690596518,181,44
top10,225,10.0,10.0,10.0,209.47353148272484,211.580476864012,235.4127603781646,0.3490172677781042,0.3454825022538494,0.3965264554745308,0.2539487023133719,0.2268882083030484,0.5678904772870516,0.4380534720018565,0.4118256021402199,0.9243781255212649,0.0004468391906877685,0.0004549505876938648,0.0006751190491324046,0.0006905861878395357,0.000385561760628348,0.0017953329321638743,0.013100799971984493,0.003897101618349552,0.02590811476111412,0.11631336043710391,0.08032577866824414,0.28110257924796067,0.3750594310497533,0.3454731032866794,0.5937648737318442,222,3
top15,225,15.0,15.0,15.0,228.53896085161617,231.79269148187467,255.87166419815344,0.43635868705047137,0.4298602632633304,0.4876415881388637,0.20333913937579257,0.17135343411824272,0.4664549088533219,0.42078551280766313,0.3853073436935575,0.9178851427863917,0.0004468391906877685,0.0004549505876938648,0.0006751190491324046,0.0006905861878395357,0.000385561760628348,0.0017953329321638743,0.013100799971984493,0.003897101618349552,0.02590811476111412,0.16692292337468326,0.13019283316338304,0.38318839185794007,0.4933822282743643,0.4674765441664264,0.6839724068408689,224,1
top2,225,2.0,2.0,2.0,91.1232762186379,86.28014404613232,126.00330023666935,0.059611706801672555,0.05555499272666775,0.10451431319136621,0.3356659393197972,0.3180053132293388,0.7499756520290383,0.45911336787658,0.55793661940154,0.9243781255193758,0.002854529055665358,0.002944713418495865,0.004288134631115359,0.0038079681088421424,0.0013798140667655157,0.0101951124506976,0.14261324958668814,0.09859243035316467,0.3997410476207733,0.034596123430678576,0.01994247894114337,0.08939380719238676,0.07342458683759749,0.07847054335653006,0.146076431124832,191,34
top20,225,20.0,20.0,20.0,242.14332359466442,245.2169638083944,272.2127120304744,0.5151038638072368,0.5112861029659084,0.5764289542824784,0.15650246209398413,0.11475666866514075,0.3663214741890574,0.4129837869395378,0.35249809536430776,0.9178851428077542,1.9731497467917115e-05,1.6994415410260888e-05,3.7294541566661896e-05,4.402774468972306e-05,4.108772296675275e-05,7.463017332247525e-05,0.0005015579683499203,0.00018384959548711777,0.001603412628173828,0.21375960065649166,0.17111502638860815,0.4970826127305353,0.5973057887673564,0.5849666538464177,0.8200121089317419,223,2
top3,225,3.0,3.0,3.0,120.8230254737544,118.22104757824029,156.50750497329773,0.10418158815966526,0.09275902642955397,0.1497257133924954,0.32435472140592264,0.30769147845540806,0.7227828073485019,0.45625145486332636,0.55793661940154,0.9243781255221988,0.00223285405004761,0.002440589104883055,0.003378583392540871,0.0031782690889163166,0.0009365352357954735,0.008653747331720585,0.08608920208281941,0.04920372739434242,0.24604310393333428,0.04590734134455318,0.027484922491522235,0.1230313183083377,0.11554258472011229,0.1129050074565526,0.2020507974310877,208,17
