frame,episode_id,planner_phase,progress,raw_no_correction,progress_hidden_all,phase_gated_alignment_descent_hold,oracle_min_raw_hidden
episode_000001_000000,episode_000001,hold,0.0,0.4219820891657194,0.024374758837479592,0.024374758837479592,0.024374758837479592
episode_000001_000001,episode_000001,hold,1.0,0.41514354122574054,0.022698952901892368,0.022698952901892368,0.022698952901892368
episode_000001_000002,episode_000001,alignment,2.0,0.42997138849174865,0.020980882937269563,0.020980882937269563,0.020980882937269563
episode_000001_000003,episode_000001,alignment,3.0,0.41875427705474016,0.02201935629921271,0.02201935629921271,0.02201935629921271
episode_000001_000004,episode_000001,alignment,4.0,0.4980522157810798,0.028136196500913268,0.028136196500913268,0.028136196500913268
episode_000001_000005,episode_000001,alignment,5.0,0.5863490709185128,0.030398673317028058,0.030398673317028058,0.030398673317028058
episode_000001_000006,episode_000001,alignment,6.0,0.6856069747586344,0.015075060415701984,0.015075060415701984,0.015075060415701984
episode_000001_000007,episode_000001,alignment,7.0,0.8035838760854747,0.02366001497267367,0.02366001497267367,0.02366001497267367
episode_000001_000008,episode_000001,alignment,8.0,0.713213669373188,0.005957351836415471,0.005957351836415471,0.005957351836415471
episode_000001_000009,episode_000001,alignment,9.0,0.7115152631743655,0.00973720171971461,0.00973720171971461,0.00973720171971461
episode_000001_000010,episode_000001,alignment,10.0,0.5626869796832417,0.01925571269403978,0.01925571269403978,0.01925571269403978
episode_000001_000011,episode_000001,alignment,11.0,0.7078091426930296,0.016765269672694073,0.016765269672694073,0.016765269672694073
episode_000001_000012,episode_000001,alignment,12.0,0.7800609416677184,0.028985511360729577,0.028985511360729577,0.028985511360729577
episode_000001_000013,episode_000001,alignment,13.0,0.7863229644874554,0.03432632227778843,0.03432632227778843,0.03432632227778843
episode_000001_000014,episode_000001,alignment,14.0,0.8038039638332795,0.0319954548679051,0.0319954548679051,0.0319954548679051
episode_000001_000015,episode_000001,alignment,15.0,0.5435955057955972,0.2353969255012073,0.2353969255012073,0.2353969255012073
episode_000001_000016,episode_000001,alignment,16.0,0.6126002145558244,0.1937932731814675,0.1937932731814675,0.1937932731814675
episode_000001_000017,episode_000001,alignment,17.0,0.5219080176246764,0.28058712137644226,0.28058712137644226,0.28058712137644226
episode_000001_000018,episode_000001,alignment,18.0,0.42064169094350695,0.3583990558104948,0.3583990558104948,0.3583990558104948
episode_000001_000019,episode_000001,alignment,19.0,0.4422233401029917,0.31862748663420304,0.31862748663420304,0.31862748663420304
episode_000001_000020,episode_000001,descent_to_grasp,20.0,0.43987934678956975,0.3067652112086597,0.3067652112086597,0.3067652112086597
episode_000001_000021,episode_000001,descent_to_grasp,21.0,0.47668975996707175,0.25570104980605113,0.25570104980605113,0.25570104980605113
episode_000001_000022,episode_000001,descent_to_grasp,22.0,0.5233863768126721,0.1349562931273222,0.1349562931273222,0.1349562931273222
episode_000001_000023,episode_000001,descent_to_grasp,23.0,0.5197623589072495,0.08757792570965584,0.08757792570965584,0.08757792570965584
episode_000001_000024,episode_000001,descent_to_grasp,24.0,0.26158246283006775,0.2136651073826862,0.2136651073826862,0.2136651073826862
episode_000001_000025,episode_000001,descent_to_grasp,25.0,0.17401650077696906,0.15798801960231718,0.15798801960231718,0.15798801960231718
episode_000001_000026,episode_000001,descent_to_grasp,26.0,0.09493613936344455,0.08467271333919416,0.08467271333919416,0.08467271333919416
episode_000001_000027,episode_000001,descent_to_grasp,27.0,0.09097468706570148,0.08111523133665967,0.08111523133665967,0.08111523133665967
episode_000001_000028,episode_000001,grasp_close,28.0,0.00895170152577034,0.013015230092100987,0.00895170152577034,0.00895170152577034
episode_000001_000029,episode_000001,grasp_close,29.0,0.007440796913528912,0.007972225321135168,0.007440796913528912,0.007440796913528912
episode_000001_000030,episode_000001,grasp_close,30.0,0.005241390681510411,0.004645619645020762,0.005241390681510411,0.004645619645020762
episode_000001_000031,episode_000001,grasp_close,31.0,0.0036036090292487265,0.002128024455638371,0.0036036090292487265,0.002128024455638371
episode_000001_000032,episode_000001,grasp_close,32.0,0.003380971684577449,0.0016571818133559613,0.003380971684577449,0.0016571818133559613
episode_000001_000033,episode_000001,grasp_close,33.0,0.0033675049870654115,0.0016708432754052277,0.0033675049870654115,0.0016708432754052277
episode_000001_000034,episode_000001,grasp_close,34.0,0.0033583564279570577,0.0016245040246229453,0.0033583564279570577,0.0016245040246229453
episode_000001_000035,episode_000001,grasp_close,35.0,0.00332107857317197,0.0017659267432317137,0.00332107857317197,0.0017659267432317137
episode_000001_000036,episode_000001,grasp_close,36.0,0.0034096624885263465,0.0019539694994451886,0.0034096624885263465,0.0019539694994451886
episode_000001_000037,episode_000001,grasp_close,37.0,0.0034098594994841002,0.0020901840764341777,0.0034098594994841002,0.0020901840764341777
episode_000001_000038,episode_000001,lift,38.0,0.003387223020251605,0.0018908126726528828,0.003387223020251605,0.0018908126726528828
episode_000001_000039,episode_000001,lift,39.0,0.002997819595259317,0.0016352309508181364,0.002997819595259317,0.0016352309508181364
episode_000001_000040,episode_000001,lift,40.0,0.0024363204749320486,0.00183306768737413,0.0024363204749320486,0.00183306768737413
episode_000001_000041,episode_000001,lift,41.0,0.0021285511738053167,0.0014762260412517205,0.0021285511738053167,0.0014762260412517205
episode_000001_000042,episode_000001,lift,42.0,0.0032982858734756622,0.0025761221630212243,0.0032982858734756622,0.0025761221630212243
episode_000001_000043,episode_000001,lift,43.0,0.005668335185239355,0.004161338804247449,0.005668335185239355,0.004161338804247449
episode_000001_000044,episode_000001,lift,44.0,0.006268481883247962,0.005816935658567089,0.006268481883247962,0.005816935658567089
episode_000001_000045,episode_000001,lift,45.0,0.007141096362907787,0.006171515666305952,0.007141096362907787,0.006171515666305952
episode_000002_000000,episode_000002,hold,0.0,0.7715834668403181,0.03960145515039284,0.03960145515039284,0.03960145515039284
episode_000002_000001,episode_000002,hold,1.0,0.7732235697479676,0.03351166425028867,0.03351166425028867,0.03351166425028867
episode_000002_000002,episode_000002,alignment,2.0,0.7719745623964481,0.02656269997329654,0.02656269997329654,0.02656269997329654
episode_000002_000003,episode_000002,alignment,3.0,0.7664222356855166,0.023784362051162307,0.023784362051162307,0.023784362051162307
episode_000002_000004,episode_000002,alignment,4.0,0.7269631823155451,0.014072460489966437,0.014072460489966437,0.014072460489966437
episode_000002_000005,episode_000002,alignment,5.0,0.750449995559426,0.010864547133475917,0.010864547133475917,0.010864547133475917
episode_000002_000006,episode_000002,alignment,6.0,0.7562483328390552,0.0068250292910165935,0.0068250292910165935,0.0068250292910165935
episode_000002_000007,episode_000002,alignment,7.0,0.8149067915087562,0.012389088506685023,0.012389088506685023,0.012389088506685023
episode_000002_000008,episode_000002,alignment,8.0,0.7636671864130511,0.009243170583786344,0.009243170583786344,0.009243170583786344
episode_000002_000009,episode_000002,alignment,9.0,0.6354297707593926,0.016177492211179825,0.016177492211179825,0.016177492211179825
episode_000002_000010,episode_000002,alignment,10.0,0.6082216776924163,0.014988792160487355,0.014988792160487355,0.014988792160487355
episode_000002_000011,episode_000002,alignment,11.0,0.707045724693409,0.016451781400726805,0.016451781400726805,0.016451781400726805
episode_000002_000012,episode_000002,alignment,12.0,0.8342419831319766,0.033816142506404,0.033816142506404,0.033816142506404
episode_000002_000013,episode_000002,alignment,13.0,0.8194780715520578,0.0024976373111065763,0.0024976373111065763,0.0024976373111065763
episode_000002_000014,episode_000002,alignment,14.0,0.8373905626258173,0.03300717354608637,0.03300717354608637,0.03300717354608637
episode_000002_000015,episode_000002,alignment,15.0,0.8825002635917769,0.025558674826236638,0.025558674826236638,0.025558674826236638
