threshold_progress_le,gap_to_sim_chunk_mean_l2_mean,aggregate_reduction_ratio,improved_count,worsened_count
0,0.35565647100574516,0.03944663311232462,5,0
1,0.34094844392856594,0.07916992252502134,10,0
2,0.3261235419087765,0.11920886658983662,15,0
3,0.31136568727470343,0.15906672975962777,20,0
4,0.2964235087031044,0.19942241313858833,25,0
5,0.2805851743738869,0.242198424841119,30,0
6,0.2640919853984451,0.28674306128840416,35,0
7,0.2468422339346151,0.33333101398247966,40,0
8,0.23075963465828692,0.3767667339610789,45,0
9,0.21548503498153024,0.4180202168679962,50,0
10,0.20068027478176206,0.4580047621108754,55,0
11,0.18469873461123554,0.5011675426879844,60,0
12,0.16825183307090988,0.54558716650294,65,0
13,0.1520269274643913,0.5894072259656691,70,0
14,0.13638251268611087,0.6316595017242672,75,0
15,0.12435276839154821,0.6641493123335427,80,0
16,0.11360844070001809,0.6931674829009413,85,0
17,0.10603674794605208,0.7136170334104371,90,0
18,0.10043305085193009,0.7287514413281567,95,0
19,0.09451113916464761,0.7447452799712299,100,0
20,0.08906725485467307,0.7594480671526518,105,0
21,0.08316500436642482,0.7753888050300449,110,0
22,0.07812250179511233,0.7890075445083876,114,1
23,0.07517025261286471,0.7969809489676968,119,1
24,0.07296878591807812,0.8029266477477259,124,1
25,0.07250176289495897,0.8041879787618997,128,2
26,0.07233110094847423,0.8046489008051061,131,4
27,0.07242784540942877,0.8043876143523815,133,7
28,0.0724872144757188,0.8042272709840952,134,11
29,0.07250336955946325,0.804183639498805,135,15
30,0.07249041949365131,0.8042186149043751,139,16
31,0.07246597629078863,0.8042846308571873,143,17
32,0.07244356803812248,0.8043451508372784,147,18
33,0.07241842889020678,0.8044130463913867,151,19
34,0.07239862092487187,0.8044665435419933,155,20
35,0.07238126295074311,0.8045134237813563,159,21
36,0.0723661617878768,0.8045542088478957,163,22
37,0.0723568871024968,0.8045792578235081,167,23
38,0.07234981155324101,0.8045983673947216,170,25
39,0.07234806034017566,0.8046030970530947,173,27
40,0.07235723685342194,0.8045783132197791,175,30
41,0.07235203182527285,0.8045923709066791,178,32
42,0.07235196919982409,0.8045925400448519,181,34
43,0.07234309125038191,0.8046165175200927,184,35
44,0.07233731898247973,0.8046321072023283,187,35
45,0.07232907543685757,0.804654371286207,189,35
46,0.07232507117762976,0.80466518594866,190,35
47,0.07232507117762976,0.80466518594866,190,35
48,0.07232507117762976,0.80466518594866,190,35
49,0.07232507117762976,0.80466518594866,190,35
50,0.07232507117762976,0.80466518594866,190,35
