planner_phase,gate_method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,aggregate_reduction_ratio,improved_count,worsened_count
alignment,oracle_min_raw_progress,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,phase_gate_train,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,progress_all,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,progress_gate_lambda,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,progress_gate_min_gap,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,progress_gate_worse_le_1,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,progress_gate_zero_worse,85,0.08619791275905295,0.030398673288556655,0.26977959698209997,0.8790806429865914,85,0
alignment,raw_no_correction,85,0.7128545411426112,0.7546514743794472,0.8881977277763865,0.0,0,0
descent_to_grasp,oracle_min_raw_progress,40,0.20537205416721757,0.16721868085201047,0.4333952476856491,0.47029030480794165,39,0
descent_to_grasp,phase_gate_train,40,0.20723088029407855,0.17682784991215308,0.4333952476856491,0.4654958929047873,39,1
descent_to_grasp,progress_all,40,0.20723088029407855,0.17682784991215308,0.4333952476856491,0.4654958929047873,39,1
descent_to_grasp,progress_gate_lambda,40,0.21219275796452314,0.177893046620127,0.43478383392958864,0.4526978775221714,29,1
descent_to_grasp,progress_gate_min_gap,40,0.2077382164745072,0.17682784991215308,0.4333952476856491,0.46418733661369654,36,1
descent_to_grasp,progress_gate_worse_le_1,40,0.2116159518128397,0.177893046620127,0.4333952476856491,0.45418561553030545,30,1
descent_to_grasp,progress_gate_zero_worse,40,0.26110385772002087,0.2361177388348166,0.4895728886768798,0.32654301264509444,17,1
descent_to_grasp,raw_no_correction,40,0.3877068062587664,0.35255064963388283,0.7475520024887999,0.0,0,0
grasp_close,oracle_min_raw_progress,50,0.003601077239078665,0.0020391142021352546,0.007431200068259551,0.2043804000340639,31,0
grasp_close,phase_gate_train,50,0.0045261293704087265,0.003473493389049137,0.007431200068259551,0.0,0,0
grasp_close,progress_all,50,0.0056035515199702865,0.0025104974254012797,0.012975320099035544,-0.23804493009095423,31,19
grasp_close,progress_gate_lambda,50,0.00477816946114008,0.003473493389049137,0.007823693825186,-0.0556855693032462,0,1
grasp_close,progress_gate_min_gap,50,0.006024754350950655,0.0032938794324891578,0.012607476446870021,-0.33110520223742457,13,17
grasp_close,progress_gate_worse_le_1,50,0.00477816946114008,0.003473493389049137,0.007823693825186,-0.0556855693032462,0,1
grasp_close,progress_gate_zero_worse,50,0.0045261293704087265,0.003473493389049137,0.007431200068259551,0.0,0,0
grasp_close,raw_no_correction,50,0.0045261293704087265,0.003473493389049137,0.007431200068259551,0.0,0,0
hold,oracle_min_raw_progress,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,phase_gate_train,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,progress_all,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,progress_gate_lambda,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,progress_gate_min_gap,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,progress_gate_worse_le_1,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,progress_gate_zero_worse,10,0.02575415962219958,0.023536856505178602,0.03749999018454941,0.9624058289574481,10,0
hold,raw_no_correction,10,0.685057255100775,0.7346839458528246,0.7756136840909555,0.0,0,0
lift,oracle_min_raw_progress,40,0.002637262776863303,0.002328035578234605,0.004219078884564949,0.17148391348613323,27,0
lift,phase_gate_train,40,0.0029841136586754744,0.002903195647555406,0.004424557935827261,0.06251808053083821,27,13
lift,progress_all,40,0.0029841136586754744,0.002903195647555406,0.004424557935827261,0.06251808053083821,27,13
lift,progress_gate_lambda,40,0.0031831159585085055,0.002914877014246478,0.00474103628493722,0.0,0,0
lift,progress_gate_min_gap,40,0.0033657793029515356,0.0032870108296289306,0.005222304457523208,-0.057385073878558804,11,13
lift,progress_gate_worse_le_1,40,0.0031831159585085055,0.002914877014246478,0.00474103628493722,0.0,0,0
lift,progress_gate_zero_worse,40,0.0031831159585085055,0.002914877014246478,0.00474103628493722,0.0,0,0
lift,raw_no_correction,40,0.0031831159585085055,0.002914877014246478,0.00474103628493722,0.0,0,0
