subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
delta_basis,1,225,0.2799459812271042,0.21220303108465388,0.6745918480684046,0.0023983636192209043,0.002217389650801032,0.004652400166297398,0.0041137932420179605,0.0010023152162501041,0.01165612995566588,0.1618061106155316,0.0590456947684288,0.5058391451835632,0.06398614310921036,0.06274570689023762,0.11031011728841465,0.09031608152337163,0.039494868581317455,0.2449041367050113,152,73
delta_basis,2,225,0.28229292149781166,0.18632447321068984,0.6866301044923496,0.0022591411127628152,0.0021940058333681594,0.0038896984475070284,0.004031258128796172,0.0016752056116525027,0.011284477146777272,0.15219640576177174,0.06799699366092682,0.4182155549526214,0.08742429805342782,0.08801460165786114,0.13230902679757647,0.08796914125266411,0.09846280383984729,0.20423791210779232,155,70
delta_basis,4,225,0.22700277762987905,0.15797956630129023,0.5868793036099346,0.0019267984302068074,0.0018884119499654533,0.0034288300115157583,0.003582828515287819,0.0013912666606040092,0.01056026990007031,0.10188877787854936,0.04805096238851547,0.3097317099571228,0.12055660752121691,0.11373639785015113,0.1940692990295907,0.14325928512059677,0.1255562585226785,0.36300813033464824,170,55
delta_basis,8,225,0.1718788158363761,0.15926600857853296,0.4458591852220443,0.0014924301897972464,0.0013856398564674945,0.0024965428915725498,0.0027334678270905534,0.0009566099196020192,0.007936742244184412,0.07148935510052574,0.04490842670202255,0.19264311194419861,0.16108467133789361,0.1607654027002907,0.24754582010640194,0.19838324691409973,0.13695836116383464,0.5035078343603199,193,32
delta_basis,16,225,0.14159054153613734,0.1295111419772224,0.37121864606518185,0.0012861137863439001,0.0012059411387614703,0.00221882013473757,0.0024908203653117343,0.001035658587746247,0.007130477217677293,0.05509007180316581,0.028997249901294708,0.16431070566177366,0.18760444873148194,0.19132022826754264,0.26033193360304624,0.22867152121433848,0.1647378590858255,0.576121326591372,202,23
delta_basis,32,225,0.12422869761450966,0.09507566079582161,0.3194056196152705,0.0011679383324126591,0.0011112697683454895,0.0020681926769115797,0.002420115506617859,0.0008458441923652382,0.0070207876862991925,0.04597801942378282,0.022390790283679962,0.1229013442993164,0.2085847696260675,0.2129984166193846,0.28882483662415925,0.2460333651359661,0.16729743027002508,0.6023706732953666,205,20
delta_basis,64,225,0.1098172501626293,0.10196167405829089,0.2894226232262826,0.0010347267709022807,0.0009656705454750892,0.0017463560553700012,0.002151385198062289,0.0007412232162676904,0.006262924201851857,0.03977277789264917,0.020640505477786064,0.10362675189971923,0.22665463170944122,0.22912944815579897,0.3190862991617056,0.2604448125878465,0.17423573257583208,0.6214362728899133,209,16
delta_basis,128,225,0.0883647667371458,0.07402788504011862,0.24326262154395611,0.0008662685354783371,0.0007808873606847766,0.00164426844850522,0.0016875918661365217,0.0005250622818250666,0.005522582216848493,0.03317797366529703,0.013653920963406563,0.09099304676055907,0.2449757551926587,0.2459767574542436,0.3426292470368098,0.28189729601332997,0.20679387878098918,0.6637597904259347,217,8
random_basis,1,225,0.3702469078306221,0.3391658610674463,0.8433891352963149,0.00414965528049776,0.004147510791219714,0.006940425500702026,0.005909788587895905,0.0018104918370096532,0.016634134958201235,0.31552281240622204,0.2415022850036621,0.8120001792907715,4.046655700628727e-06,1.911703412074963e-06,1.1158512404364746e-05,1.5154919853694666e-05,-4.768113612025346e-05,0.000632763566498251,101,124
random_basis,2,225,0.37023553517963276,0.3391449577589073,0.8434207175289896,0.004149521705841885,0.004146614900780212,0.006941518339974444,0.005909411382822966,0.001810772570796514,0.016631671025280202,0.3155029206805759,0.24161815643310547,0.8120405197143554,5.990966989785816e-06,4.501867574800065e-06,1.4068516564686723e-05,2.6527570842999862e-05,-4.320150798469303e-05,0.0006539345909611582,102,123
