planner_phase,ridge,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,hidden_cosine_to_sensitive_mean,hidden_cosine_to_sensitive_p50,hidden_cosine_to_sensitive_p90,hidden_pred_norm_mean,hidden_pred_norm_p50,hidden_pred_norm_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
alignment,0.001,85,0.2592671124351158,0.2582600067913802,0.47224569437494135,0.0018759180967457378,0.001799648634947402,0.0025949251852563546,0.0041185252343781805,0.0034030266402284267,0.008877604240439211,0.018645005825194804,0.006849479861557484,0.06049721390008927,0.8742403990878942,0.952158089085196,0.9838852415623783,49.872038259506716,50.282660216201684,63.17520920056629,0.4536202727564513,0.46015494854222233,0.6354977515375075,85,0
alignment,0.01,85,0.2592666912422228,0.2581692748837855,0.47224274359176355,0.001875840188618631,0.0017998436076815374,0.0025943760386034015,0.0041185428756444365,0.003401805073266268,0.008876553185616433,0.018645180551581743,0.006853560917079449,0.06047955006361008,0.8742625306694572,0.9521725376860101,0.9838925394243716,49.87054425339025,50.27141914518847,63.17738389938095,0.4536206939493443,0.4602220325592125,0.6355033162847432,85,0
alignment,0.1,85,0.25926287957586513,0.2572711096796715,0.4722177039619091,0.0018751030304013482,0.0018016217027259885,0.00258906026514269,0.004118724668680448,0.003389903051687925,0.00886641315911109,0.0186473424642292,0.00689251534640789,0.06031045466661454,0.8744804388190088,0.95231570147634,0.9839632414012499,49.8558994135606,50.16186212872244,63.19900968996757,0.453624505615702,0.46086241110969167,0.6355593838909349,85,0
alignment,1.0,85,0.2592462510701317,0.2517194970889,0.4722127052624795,0.001870546857229997,0.0018007143615597064,0.002607220306065289,0.004120366204513996,0.0033052907002730477,0.008788719712094556,0.018695149348144802,0.0073611121624708176,0.05877946466207507,0.8763794996538564,0.9536272209814097,0.9843561379098318,49.732699394426504,49.98725335710422,63.22921157929467,0.45364113412143536,0.4650707965271168,0.6361133471563225,85,0
alignment,10.0,85,0.25945171333180495,0.2485617114736515,0.4762610442596962,0.0018787295522700728,0.001857569453866974,0.002724864590946216,0.0041330857611534145,0.0029421960380483126,0.00912890074912149,0.019532531042418935,0.008217435330152512,0.05387478470802308,0.8850940900292281,0.9584278431336009,0.9865346596088745,49.20234696212552,49.06513433797342,62.19369670854371,0.45343567185976236,0.4611885243001701,0.6380531086172088,85,0
descent_to_grasp,0.001,40,0.2346350584887818,0.19094465099673238,0.46075737748802614,0.0016957865925816586,0.0017246438810913955,0.002908608299460041,0.0017112429602655094,0.0011154201065001594,0.004086943181063439,0.1062819090031553,0.07849380373954773,0.23875732421875,0.8306811366198247,0.9004583025218449,0.9573344430209145,32.75816189850276,30.73618191935921,47.74113065441218,0.15323036477661442,0.12726016085256203,0.2895115752844303,40,0
descent_to_grasp,0.01,40,0.2346331780464534,0.19088731667031317,0.46076093520573275,0.00169577346850047,0.0017249687386864203,0.0029094345778183975,0.0017113325818321659,0.001115460460658238,0.004089710952843831,0.10628275875351392,0.0785866230726242,0.23882505893707276,0.8307370117588168,0.9005042034223103,0.9573365150970019,32.757324679378975,30.730496684814923,47.738632045758976,0.1532322452189428,0.12726986500947196,0.28948531743577655,40,0
descent_to_grasp,0.1,40,0.23461501344092478,0.19032451767518194,0.4608035197613201,0.001695662526549828,0.001728162835738681,0.0029176577669867755,0.0017122389828774017,0.0011157228718395485,0.004116799996583349,0.1062925623031333,0.07949618995189667,0.23948771357536316,0.8312851416615725,0.9009554666220876,0.9573547326289317,32.74905238531344,30.67466756119554,47.715290435810786,0.1532504098244714,0.12736430498611237,0.2892217777304225,40,0
descent_to_grasp,1.0,40,0.23447070863539796,0.18873733859005576,0.4616830899440046,0.001695962611200394,0.0017410837901395094,0.002958606353581209,0.0017217103547083098,0.0011394938092258511,0.004341248158242272,0.10645690471865236,0.08479557977989316,0.24484992623329163,0.835916803268298,0.9048213488615334,0.9573558181490393,32.674955149114375,30.197958502958315,47.60217624972883,0.15339471462999818,0.128084600522133,0.2865584988015784,40,0
descent_to_grasp,10.0,40,0.23416763403592267,0.1915587505256883,0.4727488732581272,0.0017240941489724848,0.0017613946427569953,0.0028990693396677195,0.0017796618662665096,0.0009779835937366393,0.004250526152316337,0.10917215888039208,0.10501867532730103,0.26564882397651673,0.855239923704211,0.9245392730310797,0.9605932678870627,32.24690945047786,29.696838472483655,48.07024905013815,0.15369778922947355,0.12719582623456654,0.27357865531446657,40,0
