planner_phase,ridge,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,hidden_cosine_to_sensitive_mean,hidden_cosine_to_sensitive_p50,hidden_cosine_to_sensitive_p90,hidden_pred_norm_mean,hidden_pred_norm_p50,hidden_pred_norm_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
alignment,0.001,85,0.23988507565224337,0.22080381089173806,0.455243281846158,0.0016594303809097113,0.0016599558864063026,0.002299058567121166,0.0040496625985083756,0.003406299542883284,0.008830229340728487,0.014399071129531983,0.008678656071424484,0.03320947587490085,0.9259120218014399,0.9662519402784963,0.9865032139608637,49.943284573966274,50.07544035907194,63.77534098331218,0.4730023095393238,0.48188123033920605,0.650841686055019,85,0
alignment,0.01,85,0.23988737037428678,0.22088337803667768,0.45524178301651713,0.0016593671685042857,0.0016598783978446583,0.0022987697324318027,0.004049862179949922,0.0034046327759047674,0.008831313615892462,0.014399890589993447,0.008669864386320114,0.03323686644434932,0.9259320122621054,0.9662533861134984,0.9865118954786206,49.940960849362774,50.07253948829104,63.78160556581327,0.4730000148172805,0.4819423669543236,0.65085657291876,85,0
alignment,0.1,85,0.23990970067204245,0.2216633603329326,0.4552190534439861,0.0016587695946575383,0.0016591485219373183,0.0022960007583678623,0.00405182816122997,0.003401579192258847,0.00884182690509039,0.01440845901516321,0.008656339719891548,0.0335059151053429,0.9261264599966241,0.9662670938066473,0.9865967980284346,49.91846279976554,50.044513539979484,63.84233828985117,0.4729776845195248,0.4825397878024762,0.6510012145542173,85,0
alignment,1.0,85,0.24008546057088706,0.22375514707632344,0.45619144031961695,0.0016554339321777506,0.0016875648336367774,0.002282631609150259,0.004068400059098721,0.003427183175028121,0.008922520388223814,0.014513892863931902,0.007858127355575562,0.03579302057623866,0.9276682626649408,0.9663479981777584,0.9873659419262905,49.74647316719496,49.81540450697011,64.3225958005502,0.4728019246206801,0.4799362221074405,0.6522433090769724,85,0
alignment,10.0,85,0.24093357748155567,0.21268875239664134,0.46099402971257014,0.0016606328933229132,0.0017191329986028542,0.002273514873177234,0.004132816506901699,0.0033408846736793095,0.009022980618331627,0.015434643018114216,0.008343961089849472,0.04315052479505539,0.932860188544416,0.9699899912147154,0.989862185314923,49.17382771298894,49.1428648114778,63.93506601768414,0.47195380771001155,0.4642926927839116,0.6575003811638218,85,0
descent_to_grasp,0.001,40,0.23657094352270464,0.17755136056925738,0.4464955239344492,0.001596395689987246,0.0015195655754568754,0.0029190821074971227,0.00144316771626023,0.001040218082721919,0.0033327632529979163,0.11712580269668252,0.06349647417664528,0.27307671606540684,0.881304102577604,0.9372426531973579,0.9759549109854663,30.26295649569004,27.60232974902504,45.28402545987068,0.1512944797426916,0.11880864497552335,0.30759307477902387,40,0
descent_to_grasp,0.01,40,0.23656562425852057,0.17750761225660655,0.4464997704322623,0.0015962905953461367,0.001518928285391693,0.002918807317167319,0.001442559652614714,0.001039638057152598,0.003331710910264463,0.11713680918328465,0.06353671848773956,0.27303643226623536,0.8813793891828936,0.9372820075836714,0.9759590451393111,30.260121225111913,27.593833056543758,45.29549476037964,0.15129979900687562,0.11882084356072878,0.3075703138071917,40,0
descent_to_grasp,0.1,40,0.23651308397384446,0.17707442874200963,0.4465431769378215,0.0015952754262367828,0.0015127674998767259,0.002916135674723489,0.0014366664396571536,0.0010341883582514393,0.0033214210458626637,0.11724300773348659,0.06392580270767212,0.2726492553949356,0.8821100817784291,0.9376658293046041,0.9759975754116272,30.232679009485913,27.522347671839555,45.40712954281448,0.1513523392915517,0.11893992888826285,0.30735230133709496,40,0
descent_to_grasp,1.0,40,0.23604884594447456,0.17314625038881984,0.44700617556875655,0.0015877436250187013,0.0014669685176055731,0.0029467632974791783,0.0013914715919621542,0.00100230925071851,0.00324006351547231,0.11801425504963844,0.062492857687175274,0.26996595561504366,0.8877899567417469,0.9407830090428938,0.9781840139212715,30.024430865358546,27.409248939959014,46.29717279427019,0.1518165773209217,0.11988826090537322,0.3057920524610432,40,0
descent_to_grasp,10.0,40,0.23385925446589031,0.17092134295801842,0.45160193348962957,0.0015718398807971126,0.0013373472499829098,0.0030630373639902553,0.0012738550497427687,0.0009939414760425547,0.0029462473628617037,0.11932426419807599,0.06597868725657463,0.2667962580919266,0.9054845584322445,0.9508031486923059,0.9830866227987913,29.46791965209416,27.742688095033593,47.556730290623136,0.15400616879950585,0.1275150722364931,0.30322998361508907,40,0
