condition,episode_id,count,total_energy_mean,total_energy_median,total_energy_p90,sensitive_energy_mean,sensitive_energy_median,sensitive_energy_p90,null_energy_mean,null_energy_median,null_energy_p90,sensitive_ratio_mean,sensitive_ratio_median,sensitive_ratio_p90
C0_original,episode_000001,46,270.25348591374177,267.55766502382176,296.26839830908966,61.866453318184675,59.807107579507864,78.20421337159698,262.633330057014,261.86234547901597,288.951828396503,0.22638045849596705,0.22086596867538075,0.277121284543985
C0_original,episode_000002,47,277.94344170042876,275.7327805894989,332.31553970153664,63.669703424482094,55.412437861722665,104.12915491769415,269.5095979854153,271.4631361326386,311.9728055646805,0.22470889742243325,0.18708952816980762,0.33120131897850225
C0_original,episode_000003,44,290.10322684069814,287.8204231746181,318.19385498487753,78.97569696950094,80.72422362239813,98.64078562787888,278.4899756147099,279.77295719695564,305.51037737614877,0.26913057343560304,0.27881216791194696,0.3309677910166853
C0_original,episode_000004,45,270.91201028140733,281.5014974613313,309.1676372854096,58.56252074534852,53.4771580042438,91.27281487694283,263.84787450304896,277.84149133820705,294.7439325271781,0.21659401807628562,0.20086756426497812,0.3136391511196626
C0_original,episode_000005,43,278.9229252980113,270.6701607151605,317.46352497179174,75.77043866308688,62.541101636564164,115.8600451576227,267.5477002657855,262.4460432740071,298.4967421469585,0.2645665736671934,0.23876328259945986,0.36153688370827225
C1_sim_shift_left_24px,episode_000001,46,277.70751665076415,280.0230724521866,315.93531032522725,66.97142684998168,67.47530980418426,91.29649700729075,269.0812174013328,271.58039914585754,298.56535244769515,0.23774094575317087,0.23344501728168238,0.27344752288572816
C1_sim_shift_left_24px,episode_000002,47,277.50055575330987,273.113869608315,315.5378768066387,60.80560937744973,49.90864402191464,99.6722848649982,269.8280235125098,267.590522854597,303.42925259163263,0.21681811617600308,0.17408699811451495,0.32830275267244113
C1_sim_shift_left_24px,episode_000003,44,291.1512710175622,292.0053576714196,327.01721582809074,81.71391009437698,82.44199088897993,104.69684916443856,278.71840846745704,282.8559433667921,310.76104060549716,0.27648199264310286,0.27389140209557145,0.346899957784222
C1_sim_shift_left_24px,episode_000004,45,275.09712150945603,282.56851420808704,312.58581014155766,58.07672197334245,55.570676241752466,89.67424253394299,268.27600573546886,277.7346295078742,301.90366304898504,0.21262590223948813,0.1904595107307392,0.30526564899411796
C1_sim_shift_left_24px,episode_000005,43,287.7136322746341,276.21101938642767,336.16379932546687,77.43387887402619,62.30054215832078,120.37387719336694,275.95498321571586,269.7447798475139,313.9724477380117,0.260927556338037,0.2368671441246807,0.36096804523827514
C2_sim_shift_right_24px,episode_000001,46,262.6967064961736,262.68073053241983,292.91162374793845,57.34994529091531,60.973872539913955,72.34980882099845,256.01680714197494,256.5271254570987,282.95726551831797,0.21520292657356418,0.21825794927441555,0.2624653024406116
C2_sim_shift_right_24px,episode_000002,47,265.2813253200789,264.69196563237546,297.35452827081025,54.30321669705244,49.50421903413012,88.19453079937176,258.84479866898886,258.0689270293628,285.8639794100558,0.20389047558740003,0.17818243941753503,0.32088339032201124
C2_sim_shift_right_24px,episode_000003,44,279.84254866412874,281.9195143003034,300.95059024680063,75.01658930534649,71.5044012852114,96.41916861793923,269.1034136732671,274.7228323794174,289.1199157880699,0.2666458691862793,0.26916270992250246,0.329191532172734
C2_sim_shift_right_24px,episode_000004,45,268.1392402199416,270.6574798912843,305.9859532161811,53.600944635265044,51.36301053827457,81.05239869326412,262.1441581562111,268.2088001950918,297.3648028176354,0.20147832621802994,0.1916262159203777,0.28486069885769516
C2_sim_shift_right_24px,episode_000005,43,273.47956893120374,264.18691964981343,306.6805268693754,72.57714922056257,61.43196741154747,112.15679186259908,262.75011051498257,256.86020248191306,285.19532540966856,0.25929578522346186,0.2269652434377716,0.366052216694845
C3_sim_shift_up_24px,episode_000001,46,270.0550046708947,264.5487205662463,295.2179019045403,63.96084262275783,62.44606881003243,77.48519218410377,261.9696713816928,258.72942905055925,287.85843645875264,0.23431199791549517,0.23676480527673757,0.27034030765453254
C3_sim_shift_up_24px,episode_000002,47,270.8471055770499,267.12754715601193,306.31113568822997,59.374195094626664,54.46130198106949,85.1331674771882,263.43501866016214,261.0189959937678,290.2015257127409,0.21742070163043595,0.1939552902296446,0.3054155776406932
C3_sim_shift_up_24px,episode_000003,44,284.2623339663103,284.39032523803223,311.2182956683396,77.3710043510606,76.7052952923058,94.20421786074253,273.08363329956006,271.8328646449545,295.425474776872,0.2712165578793002,0.27700181900285425,0.32918390229330824
C3_sim_shift_up_24px,episode_000004,45,270.24664346273966,277.2057244884906,303.4148221335991,56.56026844552791,53.68544429683782,91.41622741968783,263.51921980026265,274.7251691138935,296.17463690181427,0.2101371272890255,0.19717055885122223,0.3126458191035751
C3_sim_shift_up_24px,episode_000005,43,276.57123290156716,271.70051247032563,302.96036197506714,76.64128519023718,64.54477128227266,113.38338655610757,265.0808723267882,266.4291137718701,285.99197162672175,0.27307813754216065,0.24594300661362856,0.36895840923260415
C4_sim_shift_down_24px,episode_000001,46,281.94591257362515,271.8371970781072,322.68128282824296,67.01383825505415,61.676134922926394,106.57288801446786,273.22194891931855,263.7736797795176,302.31878171164806,0.23474496638731554,0.21192820456000966,0.29479047341399794
C4_sim_shift_down_24px,episode_000002,47,289.1247716814701,294.64816408343734,324.51257563914675,65.6969022907036,50.441472046068974,112.28831592191632,280.30181476118815,290.7188794224211,306.0873719943018,0.22131904080525755,0.17370529732950607,0.35368566365340215
C4_sim_shift_down_24px,episode_000003,44,299.35814330552824,298.39165625893554,334.550986048362,81.90419767082801,89.54866921693124,108.6891025154123,287.1128697137836,290.80245439177486,320.5498338776822,0.2712660589231626,0.289748981265621,0.3488358168924698
C4_sim_shift_down_24px,episode_000004,45,282.12164039317634,280.9688883483231,318.2909120297526,60.657075381435625,55.7432068929555,101.02606621018498,274.66132161228563,276.781612160524,306.7789186649135,0.2153582924746232,0.1764510167903681,0.31433687590512294
C4_sim_shift_down_24px,episode_000005,43,286.187382093366,275.7630052784292,320.7176373708243,78.41009893902293,67.18014922178736,115.99031640001799,274.34605141972486,269.2145279923379,295.6844532240866,0.26946862163926943,0.2568769782373244,0.36623238002854086
C5_sim_zoom_in_1p05,episode_000001,46,276.1460701215127,274.3253958499563,303.0962931520289,69.08122994115561,67.44504086959111,81.00787713358986,266.79821878113285,266.8391653917648,290.7820631089474,0.24630033236890259,0.2484663635254788,0.2899656580012716
C5_sim_zoom_in_1p05,episode_000002,47,277.8655882088335,284.6638207567571,322.6992432839506,63.109949619510424,53.30860679611944,92.47642963380495,269.5342981673231,280.42316953064096,303.6814724905042,0.22352347033396447,0.193872911064645,0.31788058972100997
C5_sim_zoom_in_1p05,episode_000003,44,293.6215561708414,291.3737105803806,313.50856076590486,85.97615734060246,83.05696678548377,108.3641389967351,280.25705057614545,279.66271902259473,297.24143453600414,0.2904719466342822,0.2731665483490521,0.35449746383533093
C5_sim_zoom_in_1p05,episode_000004,45,277.6337790287118,290.69956356921494,317.8261630453199,61.22124422127092,53.75898798129287,98.70974586840074,269.9711896775658,286.3145656412417,300.6198511669094,0.22030016397370053,0.20989651167040982,0.3246390132460569
C5_sim_zoom_in_1p05,episode_000005,43,276.54011951674516,272.18873365234094,319.78723187497013,77.46070391950019,76.12169857657535,116.06414741460407,264.6328016746732,263.28342907108447,297.03950210925103,0.27311299069660766,0.2796651336561324,0.36752245574511194
C6_sim_zoom_out_0p95,episode_000001,46,275.1035108595952,281.2881730347682,302.10028687524414,62.604813798709046,58.831333353435696,79.8093952550075,267.41113736018286,274.19249201560046,292.1412815248909,0.22529545664334696,0.21342484847800525,0.2718563544363928
C6_sim_zoom_out_0p95,episode_000002,47,274.28141482229114,273.5029721269333,307.6523754194175,59.036613259154294,48.74287743278383,87.67990627944815,266.93185460072766,269.72887676652533,294.6574543128395,0.2122516075871959,0.17815227860607696,0.3275435749689048
C6_sim_zoom_out_0p95,episode_000003,44,288.7627154518325,287.2410575967178,308.3733808449312,77.25519540177038,79.08461829205612,99.80681123400765,277.45592959220977,280.3523986214226,298.458045536235,0.2640344016826369,0.27585521649656364,0.3366607675400483
C6_sim_zoom_out_0p95,episode_000004,45,275.57238849220835,288.81754828314934,306.4092549896055,58.86483027920323,52.2995670257634,90.63293318720832,268.58045269428777,283.99113327758346,295.30636527611233,0.21454940149897972,0.19185017762604145,0.30424548073292806
C6_sim_zoom_out_0p95,episode_000005,43,289.2453864888855,276.4324499188869,333.7192246588907,76.32283540731443,60.89335886038443,114.35484190388429,278.0448999920665,269.9430328685078,312.5749349752814,0.2571876894952335,0.22378370076420706,0.35393573578896054
C7_sim_rotate_ccw_2deg,episode_000001,46,276.34469172030083,274.69494718685246,312.95601715515204,62.53610109714721,57.260201058066144,85.29277495743855,268.62242334323344,267.607491590923,297.7852361459268,0.2233793572161277,0.20238290244798623,0.27448616789952784
C7_sim_rotate_ccw_2deg,episode_000002,47,277.3440922097078,277.97283498526417,323.7082051898358,64.69116797887455,55.92626456624935,105.41143608440339,268.7214202995527,271.7605134230962,302.8272956841638,0.22822424858842394,0.20196592685606243,0.32998457299610795
C7_sim_rotate_ccw_2deg,episode_000003,44,288.85549406716297,291.9510394922206,314.4944019281813,79.97591005805772,82.45547312422681,101.88167735750692,276.6855632420334,280.4888368697924,303.21844811593564,0.2738601793843978,0.28211562744741975,0.3489319410664733
C7_sim_rotate_ccw_2deg,episode_000004,45,269.02885938804803,280.11150537581744,302.00577296230034,60.17109345690829,58.68887484185959,89.32742735374916,261.5842109810621,273.18105723746805,289.07919442324226,0.22274514494551267,0.20609294173887985,0.3146502491007001
C7_sim_rotate_ccw_2deg,episode_000005,43,281.2915979441523,275.9394162346232,315.81324968073045,80.25184956799973,69.67197413782743,116.8167720641277,268.76728197977974,266.31893734759177,293.6846605781677,0.278713867627268,0.26359182287116734,0.3708685838126371
C8_sim_rotate_cw_2deg,episode_000001,46,280.4541614624571,278.46695547427237,314.9752183113885,64.14480161207042,59.38020652327988,87.8451835220978,272.5110020606129,272.9340463823357,298.9227401202562,0.2261086268392797,0.20620209066832204,0.2793176031716319
C8_sim_rotate_cw_2deg,episode_000002,47,293.72147086199146,298.1288976876687,350.80344253297216,68.86116036738072,53.41615883018612,116.16220721152773,284.1993294673199,293.6412568186252,333.2023352118776,0.22664434696894475,0.17726641549222263,0.3548545653387865
C8_sim_rotate_cw_2deg,episode_000003,44,301.8116319083231,297.1189458904376,339.1969477451845,84.13615936841676,90.63491506758109,115.76895273778764,289.0650656928046,286.1339145083381,316.15911090517756,0.27447793498197526,0.2932012881780853,0.3506908604977681
C8_sim_rotate_cw_2deg,episode_000004,45,286.98163514304343,295.16059200952844,321.15963483001394,62.994723049274064,62.42084113998558,94.70863602556734,279.16445667926166,289.48586951409027,308.2556161427195,0.2205426512058477,0.18873909150947119,0.3143994620871917
C8_sim_rotate_cw_2deg,episode_000005,43,286.45767037302727,275.37327143661406,328.433628616465,78.94635094601917,69.29267798897239,120.01109044141016,274.5524501417735,264.0510217485547,306.6280846421241,0.27031259886234826,0.26028314740907843,0.36779786032194156
