variant,planner_phase,count,total_energy_mean,total_energy_p50,total_energy_p90,sensitive_energy_mean,sensitive_energy_p50,sensitive_energy_p90,null_energy_mean,null_energy_p50,null_energy_p90,sensitive_ratio_mean,sensitive_ratio_p50,sensitive_ratio_p90
aligned_P4_condition_specific_progress_phase,alignment,85,151.9253676574956,155.2696095713442,187.0655257092235,16.062676924629415,15.311587227337979,22.649234455251555,151.0094029610751,154.03945448761226,185.3444953192186,0.10482684273593407,0.10098881351783039,0.13576599516110177
aligned_P4_condition_specific_progress_phase,descent_to_grasp,40,168.76011464500866,172.76653266217113,206.15439807190066,25.62969907498312,23.31684950283944,36.06286194467001,166.59459160775265,170.6981848286867,203.58003441496297,0.14807977310050585,0.13758063234433415,0.2042886150878821
aligned_P4_condition_specific_progress_phase,grasp_close,50,154.67785868413677,148.8679769693535,173.4299918403963,23.437592528927148,21.003206842338003,42.05940170910798,152.61169933772808,147.70067044524632,169.10701701139067,0.14654082992099243,0.1441374264197572,0.23462573660683617
aligned_P4_condition_specific_progress_phase,hold,10,137.6117280654004,143.5287252227619,154.28874066975732,13.966638182141853,15.554470740359875,17.287839237555275,136.88099901107836,142.47076220633323,153.49359950020596,0.1000801632080758,0.10164941857389048,0.12099498378787493
aligned_P4_condition_specific_progress_phase,lift,40,171.05544019204984,164.88866012650942,217.4977473770554,28.56512440863339,25.41586603409398,47.12228514449708,168.34440422905956,160.9558407805594,212.10534941660555,0.16079892516054423,0.16011587745977002,0.2474166620280988
aligned_P4_original_P0_trained_progress_phase_transfer,alignment,85,242.85339830755044,243.73013602980862,266.97830086249616,65.56132232019766,65.07749859546156,78.28007000032272,233.55863631503655,235.43725978600173,256.6543151380238,0.2706040783961378,0.2763247067767128,0.3211348188341191
aligned_P4_original_P0_trained_progress_phase_transfer,descent_to_grasp,40,267.81912628938966,273.7785093009986,289.84448013114536,59.28436520236041,64.32760816634797,79.68365220035162,260.59205852067987,270.16740346784024,280.53101105012837,0.21993370111244603,0.23073630459415156,0.29090865286947987
aligned_P4_original_P0_trained_progress_phase_transfer,grasp_close,50,281.69024122789926,278.8727792036839,299.99325415999715,50.52514747190926,50.43704781717304,63.39481737444779,277.05024000630556,275.26513238714085,295.17925313061437,0.17890136435462575,0.17608850804995807,0.2134142822216044
aligned_P4_original_P0_trained_progress_phase_transfer,hold,10,248.44136296604248,244.34354085393147,270.79319176668866,61.56518371743616,62.19354037146867,75.0946076490299,240.64368721421692,237.84909779812784,262.1779768009586,0.24665821560682236,0.24793395377011934,0.27360657735378086
aligned_P4_original_P0_trained_progress_phase_transfer,lift,40,252.25502144039598,248.36820202731099,276.2864903074298,41.52629894935536,37.93628121835698,61.58531556025702,248.58515246643856,246.4291847738582,271.0438885687752,0.16220056822274803,0.15287124936336816,0.22126669081261338
aligned_P4_raw,alignment,85,167.4918237009058,169.5043668554353,198.04511768478937,18.939910363828453,17.073321430213774,27.02926423754093,166.35215534494728,167.9893257755317,196.32165747456617,0.1116868182637555,0.10384629617421613,0.14961619889101327
aligned_P4_raw,descent_to_grasp,40,215.9770251534109,213.10244146398284,242.44803321875844,42.6102469304815,41.68404560064076,62.50581604119855,211.23879027770977,209.58156056614047,234.36524435668784,0.19093455388004701,0.19820530471424627,0.26409468530709335
aligned_P4_raw,grasp_close,50,203.71589224915107,205.81073264875164,216.6091315572502,34.26049181631748,34.59825404733785,49.99285181739734,200.56091574894901,202.41742435278985,210.8041105220856,0.1657354315844015,0.1693549985116627,0.2329916059768506
aligned_P4_raw,hold,10,162.17033749435103,160.29434686073756,179.89768133881228,18.336061402092934,18.54352463377801,21.00541381680945,161.12269899303686,159.11938158714446,178.6687672594421,0.11309936724764084,0.11692738557144075,0.12092285670780427
aligned_P4_raw,lift,40,193.2020436688731,189.0770382509387,215.80640880631196,33.321747254712754,31.75476839407105,52.35747011729493,189.9054682322929,186.58089200504492,210.67607562480424,0.1670707959154024,0.1602359139821084,0.2431471197401994
original_P0_condition_specific_progress_phase,alignment,85,222.06394126077737,228.34149223910924,260.0291726851213,33.32371589742869,30.28225545789273,48.219366290789054,219.3679410875665,226.5710377228843,255.00812539014325,0.14926694594727344,0.1414116503492726,0.2002471017391314
original_P0_condition_specific_progress_phase,descent_to_grasp,40,243.18974015885516,237.20286775545128,295.6682941350259,46.9894191641219,42.65142359075402,73.78127652965658,238.24401034488855,233.20039451092308,282.91462190212064,0.18854464527063763,0.17586906133913188,0.2736180629480401
original_P0_condition_specific_progress_phase,grasp_close,50,229.14074730194986,228.65907473665757,242.31244245911003,36.1212609205218,35.62741333036441,46.0470937132227,226.22637912280493,225.66922608342648,239.34926801567872,0.15714916937150133,0.15326248487112742,0.19154657332926187
original_P0_condition_specific_progress_phase,hold,10,208.895060530174,201.4549681035362,265.78555269859845,33.85087700617952,24.400360728850607,66.82397497255495,205.7286004166553,198.08539171724098,257.2473576762984,0.1553495782965118,0.13038349031022395,0.25141729486419717
original_P0_condition_specific_progress_phase,lift,40,234.38319202023294,230.88687564605627,262.34574684463195,35.49571787682167,35.16012629109119,46.502345717862084,231.5816131921129,227.48797832210397,258.23865935938795,0.15065327103049475,0.1517908691305771,0.18862773298898933
original_P0_raw,alignment,85,271.07537835210525,267.93160985326267,313.0920265725363,72.92751576634475,75.1921880818967,99.54223140305487,260.5721357509696,258.26816265075814,295.5571468019369,0.2667814722968302,0.27798831452338973,0.328382372239533
original_P0_raw,descent_to_grasp,40,302.84304290558725,309.4713732153378,335.3850874430925,90.85351213960608,97.91137218913909,124.61401464208897,287.4410150799646,292.23918689999056,308.7831341040007,0.2924088076182335,0.3329022314455695,0.3888783564770586
original_P0_raw,grasp_close,50,282.49161356714643,286.7861526920007,299.3970611060175,57.57916548441162,54.65087122825696,67.05379621946129,276.4585264437212,279.4694868193028,292.2322766849958,0.203524708474722,0.20111055286527654,0.23403742181472928
original_P0_raw,hold,10,265.6796699769466,258.93553135309656,335.7540155806336,68.4427304616333,61.82865333597538,102.11535514867451,256.46093584591245,251.56087182337808,319.84855007634303,0.25390881106807794,0.2680444016342861,0.3041350829061844
original_P0_raw,lift,40,262.6941022285393,262.0678383061701,283.43969392791905,45.258524266480265,45.37713361584191,56.393944697991486,258.63852141302596,257.9366229122111,276.58604436441846,0.17128892483409866,0.17413417816823068,0.2067976435379614
