condition,planner_phase,count,action_chunk_mean_l2_mean,action_chunk_mean_l2_median,translation_l2_mean,translation_l2_median,rotation_l2_mean,rotation_l2_median,gripper_gap_mean,gripper_gap_median,hidden_l2_mean,hidden_l2_median,vision_pooled_l2_mean,vision_pooled_l2_median,projector_pooled_l2_mean,projector_pooled_l2_median
P0_current_paired_image,alignment,85,0.7127093049575082,0.7519542443252163,0.004867552659498002,0.004717507634453666,0.012389131771933178,0.011436421655361066,0.5313571705537684,0.54400634765625,271.07537835210525,267.93160985326267,71.38648110579983,70.43670591698621,8.417787261941394,7.866685327444045
P0_current_paired_image,descent_to_grasp,40,0.38832408663064183,0.3544068323110383,0.00402372658738092,0.0034249475869755326,0.0023962938176443852,0.0012348548712822044,0.5242835998535156,0.4931640625,302.84304290558725,309.4713732153378,92.40362485024386,93.43236655986236,11.565215787960796,11.496514753477495
P0_current_paired_image,grasp_close,50,0.0044189776570289505,0.003383313108833143,0.003803176152262524,0.0035557967729963665,0.00043879958302874873,0.00044987343800734203,0.0096875,0.00390625,282.49161356714643,286.7861526920007,99.88988564347326,99.43608162759,12.025217231119292,11.847278346264343
P0_current_paired_image,hold,10,0.6839454607465955,0.735888420806405,0.004465281484177375,0.004816902636863474,0.014965274793366432,0.01594347604816492,0.4165771484375,0.45599365234375,265.6796699769466,258.93553135309656,61.08794735509106,61.14893814582048,6.519758856262749,6.483801377077217
P0_current_paired_image,lift,40,0.0030528899850139797,0.0028994824922274195,0.0031480919859148805,0.0032960058240455213,0.00024214253110222675,0.00021994421773270843,0.0041015625,0.00390625,262.6941022285393,262.0678383061701,94.69630338347412,97.2692324042356,11.513848515289103,11.879787338837259
P1_resize_224_direct,alignment,85,0.7075003468635587,0.747090000325629,0.004824278158146129,0.0047949818591421015,0.012280379406429289,0.011705569413096932,0.519538969152114,0.534454345703125,269.8770546484495,265.9574019096489,70.52171811924492,69.14011218049323,8.401196359156513,7.807715981061355
P1_resize_224_direct,descent_to_grasp,40,0.3923831352085999,0.3627858330625953,0.003998896505940317,0.003549156012105669,0.0023843302089684134,0.0011904238062979784,0.521563720703125,0.482421875,302.66027041441254,305.4325219085355,93.19756977018244,93.95776269073133,11.77814628643882,11.906490170885455
P1_resize_224_direct,grasp_close,50,0.004720784390052587,0.003491110344977153,0.00403180134505113,0.0037755067242103723,0.0003856222461291524,0.0003670333057211564,0.0109375,0.00390625,284.273649124473,288.7258090601774,101.61876442872257,102.60175650781336,12.228211143712326,11.983277609926134
P1_resize_224_direct,hold,10,0.6880235439013862,0.7413168600490861,0.004465305684637108,0.00484981982437604,0.015157487289255658,0.01571733568002104,0.419720458984375,0.4605712890625,266.4756896359235,258.9043962615047,60.497246496256274,60.28127380795533,6.54229575264848,6.530291644187623
P1_resize_224_direct,lift,40,0.0033185738852389637,0.003138499048658128,0.00327885006312511,0.0035460230978770243,0.00021394907669638214,0.00020522116119410798,0.00439453125,0.00390625,263.8050547877967,261.6609914232414,95.50899731454703,97.50771884705952,11.592520821924783,11.714563131528445
P2_center_crop_square_resize_224,alignment,85,0.27264385380841094,0.25811167103095756,0.0024271212712083383,0.0023263291807129887,0.005112219172786024,0.004457135061571333,0.10784373563878677,0.052734375,241.46180681156784,237.73850036152893,79.19591399336808,79.1038019069202,9.271158237314859,9.247680102335412
